name,MAP,P@3,P@5,Précision (P@30),Rappel (R@30)
BM25_lexemes,0.1709,0.3333,0.4,0.38,0.38
InL2_stems,0.1702,0.2,0.28,0.3933,0.3933
InL2_lemmes,0.1684,0.2667,0.28,0.3933,0.3933
PL2_stems,0.1673,0.2667,0.28,0.3933,0.3933
TF_IDF_stems,0.1665,0.2,0.28,0.3867,0.3867
TF_IDF_lemmes,0.162,0.2,0.28,0.38,0.38
InL2_lexemes,0.1617,0.2,0.36,0.3867,0.3867
PL2_lemmes,0.1584,0.2667,0.28,0.38,0.38
DPH_lemmes,0.1576,0.2667,0.28,0.4,0.4
DPH_stems,0.157,0.2,0.28,0.3933,0.3933
PL2_lexemes,0.1563,0.1333,0.28,0.38,0.38
TF_IDF_lexemes,0.1525,0.1333,0.28,0.38,0.38
BM25_stems,0.1479,0.2667,0.28,0.3467,0.3467
DirichletLM_lexemes,0.145,0.4667,0.4,0.3333,0.3333
BM25_lemmes,0.1442,0.3333,0.28,0.34,0.34
DPH_lexemes,0.1422,0.2667,0.24,0.36,0.36
DirichletLM_stems,0.1341,0.2667,0.32,0.34,0.34
DirichletLM_lemmes,0.1318,0.2667,0.32,0.34,0.34
