name,qid,measure,value
BM25,Q1,map,0.182
BM25,Q1,P_1,0.0
BM25,Q1,P_5,0.2
BM25,Q1,P_10,0.4
BM25,Q1,recall_30,0.4333
BM25,Q2,map,0.1656
BM25,Q2,P_1,1.0
BM25,Q2,P_5,0.6
BM25,Q2,P_10,0.6
BM25,Q2,recall_30,0.3
BM25,Q3,map,0.0794
BM25,Q3,P_1,0.0
BM25,Q3,P_5,0.0
BM25,Q3,P_10,0.2
BM25,Q3,recall_30,0.3
BM25,Q4,map,0.133
BM25,Q4,P_1,0.0
BM25,Q4,P_5,0.2
BM25,Q4,P_10,0.3
BM25,Q4,recall_30,0.3667
BM25,Q5,map,0.1668
BM25,Q5,P_1,1.0
BM25,Q5,P_5,0.4
BM25,Q5,P_10,0.4
BM25,Q5,recall_30,0.3
DPH,Q1,map,0.1753
DPH,Q1,P_1,1.0
DPH,Q1,P_5,0.2
DPH,Q1,P_10,0.2
DPH,Q1,recall_30,0.4333
DPH,Q2,map,0.1366
DPH,Q2,P_1,1.0
DPH,Q2,P_5,0.2
DPH,Q2,P_10,0.2
DPH,Q2,recall_30,0.3333
DPH,Q3,map,0.0764
DPH,Q3,P_1,0.0
DPH,Q3,P_5,0.0
DPH,Q3,P_10,0.1
DPH,Q3,recall_30,0.3
DPH,Q4,map,0.2348
DPH,Q4,P_1,0.0
DPH,Q4,P_5,0.6
DPH,Q4,P_10,0.3
DPH,Q4,recall_30,0.5
DPH,Q5,map,0.1558
DPH,Q5,P_1,0.0
DPH,Q5,P_5,0.4
DPH,Q5,P_10,0.3
DPH,Q5,recall_30,0.4
InL2,Q1,map,0.1878
InL2,Q1,P_1,1.0
InL2,Q1,P_5,0.2
InL2,Q1,P_10,0.2
InL2,Q1,recall_30,0.4333
InL2,Q2,map,0.1638
InL2,Q2,P_1,1.0
InL2,Q2,P_5,0.6
InL2,Q2,P_10,0.5
InL2,Q2,recall_30,0.3
InL2,Q3,map,0.0794
InL2,Q3,P_1,0.0
InL2,Q3,P_5,0.0
InL2,Q3,P_10,0.2
InL2,Q3,recall_30,0.3
InL2,Q4,map,0.2208
InL2,Q4,P_1,0.0
InL2,Q4,P_5,0.0
InL2,Q4,P_10,0.2
InL2,Q4,recall_30,0.5333
InL2,Q5,map,0.1948
InL2,Q5,P_1,0.0
InL2,Q5,P_5,0.6
InL2,Q5,P_10,0.4
InL2,Q5,recall_30,0.4
PL2,Q1,map,0.1793
PL2,Q1,P_1,1.0
PL2,Q1,P_5,0.2
PL2,Q1,P_10,0.2
PL2,Q1,recall_30,0.4333
PL2,Q2,map,0.1625
PL2,Q2,P_1,1.0
PL2,Q2,P_5,0.6
PL2,Q2,P_10,0.5
PL2,Q2,recall_30,0.3333
PL2,Q3,map,0.0704
PL2,Q3,P_1,0.0
PL2,Q3,P_5,0.0
PL2,Q3,P_10,0.1
PL2,Q3,recall_30,0.2667
PL2,Q4,map,0.218
PL2,Q4,P_1,0.0
PL2,Q4,P_5,0.0
PL2,Q4,P_10,0.2
PL2,Q4,recall_30,0.5333
PL2,Q5,map,0.2033
PL2,Q5,P_1,0.0
PL2,Q5,P_5,0.6
PL2,Q5,P_10,0.3
PL2,Q5,recall_30,0.4333
TF_IDF,Q1,map,0.1719
TF_IDF,Q1,P_1,1.0
TF_IDF,Q1,P_5,0.2
TF_IDF,Q1,P_10,0.2
TF_IDF,Q1,recall_30,0.4
TF_IDF,Q2,map,0.1647
TF_IDF,Q2,P_1,1.0
TF_IDF,Q2,P_5,0.6
TF_IDF,Q2,P_10,0.5
TF_IDF,Q2,recall_30,0.3
TF_IDF,Q3,map,0.0685
TF_IDF,Q3,P_1,0.0
TF_IDF,Q3,P_5,0.0
TF_IDF,Q3,P_10,0.2
TF_IDF,Q3,recall_30,0.2667
TF_IDF,Q4,map,0.2224
TF_IDF,Q4,P_1,0.0
TF_IDF,Q4,P_5,0.0
TF_IDF,Q4,P_10,0.2
TF_IDF,Q4,recall_30,0.5333
TF_IDF,Q5,map,0.1738
TF_IDF,Q5,P_1,0.0
TF_IDF,Q5,P_5,0.4
TF_IDF,Q5,P_10,0.3
TF_IDF,Q5,recall_30,0.4
