qid,docid,docno,rank,score,query
Q1,77,a2193c4052838008,0,2.9737726887624962,iran regime collapse
Q1,34,1c0bb2b2fa2121b8,1,2.727438570999009,iran regime collapse
Q1,1,f5db3a28381e9607,2,2.6755250225333724,iran regime collapse
Q1,49,782eb9fe28396faa,3,2.56426252056617,iran regime collapse
Q1,16,31efc8ca23f3043d,4,2.49619432735623,iran regime collapse
Q1,25,e0a358186114dbb1,5,2.49619432735623,iran regime collapse
Q1,26,a77df25dafc79883,6,2.49619432735623,iran regime collapse
Q1,27,501b8de595d9b635,7,2.49619432735623,iran regime collapse
Q1,28,477f38ee2199b109,8,2.49619432735623,iran regime collapse
Q1,30,a2e3822f022b88ae,9,2.49619432735623,iran regime collapse
Q1,79,f792d44d9695270f,10,2.49619432735623,iran regime collapse
Q1,91,bd51c866aaded72d,11,2.49619432735623,iran regime collapse
Q1,47,7e783bf5b8b371b4,12,2.4249788492431885,iran regime collapse
Q1,71,431be9579a6a73af,13,2.4166940287313943,iran regime collapse
Q1,20,786c1d05c1753b54,14,2.3998682920362358,iran regime collapse
Q1,81,5954747c881eadca,15,2.3693961790261304,iran regime collapse
Q1,37,f6d3a4ce3c99762a,16,2.364301453839451,iran regime collapse
Q1,50,56b20406735643d1,17,2.339690628864405,iran regime collapse
Q1,56,8734486dd3c5f4cf,18,2.3107229488991883,iran regime collapse
Q1,4,5be6f42915ac8782,19,2.306586452226819,iran regime collapse
Q1,35,59d55172c4c466b8,20,2.306586452226819,iran regime collapse
Q1,63,d9d8fb9ae5fbbd07,21,2.306586452226819,iran regime collapse
Q1,74,81a094715680e74f,22,2.306586452226819,iran regime collapse
Q1,18,8e8733542d08f55a,23,2.2824658693589432,iran regime collapse
Q1,95,50105a25e6fcf696,24,2.2824658693589432,iran regime collapse
Q1,59,d23d86babbf0f50c,25,2.254893455520601,iran regime collapse
Q1,87,ca102a2c7b8a63c1,26,2.254893455520601,iran regime collapse
Q1,2,a5d3b15df7b31ca7,27,2.2516220689294726,iran regime collapse
Q1,7,633240933add1b56,28,2.2516220689294726,iran regime collapse
Q1,11,262794936f5da8da,29,2.2516220689294726,iran regime collapse
Q2,110,78cd3862708b2d91,0,6.963146604198879,hormuz strait closure
Q2,141,17a9a848788da71d,1,6.963146604198879,hormuz strait closure
Q2,163,7c499165dc218d09,2,6.622126287874378,hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,3,6.1265179659935125,hormuz strait closure
Q2,114,8029077ecba4a6d5,4,6.016552973086181,hormuz strait closure
Q2,103,eaf5d63999a60631,5,5.879150033859085,hormuz strait closure
Q2,128,ae487b936842cb13,6,5.879150033859085,hormuz strait closure
Q2,182,bddb5ea6752bf5d3,7,5.817118037002974,hormuz strait closure
Q2,184,6e6e778503059683,8,5.817118037002974,hormuz strait closure
Q2,119,5976e9ce43dc47f4,9,5.75124541464371,hormuz strait closure
Q2,136,000e173c6069bdc1,10,5.75124541464371,hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,11,5.6791808267934165,hormuz strait closure
Q2,188,405d58e752110179,12,5.6791808267934165,hormuz strait closure
Q2,192,8046046d423b4056,13,5.6791808267934165,hormuz strait closure
Q2,187,4dcdd20c47e563c2,14,5.667382695986744,hormuz strait closure
Q2,162,728dbdea3dbbcd3b,15,5.6287875884280485,hormuz strait closure
Q2,138,2746a9b7afaf565d,16,5.58938903274617,hormuz strait closure
Q2,178,d7c7f92810d9f46d,17,5.525350208983864,hormuz strait closure
Q2,165,b8b0ec62e58dba60,18,5.511435883031412,hormuz strait closure
Q2,186,b4ed6dbb5c28ebc1,19,5.511435883031412,hormuz strait closure
Q2,198,2247698dd4ee6eb3,20,5.511435883031412,hormuz strait closure
Q2,131,0b731b16cb647ee6,21,5.465203389573956,hormuz strait closure
Q2,133,d5120126774a6fb7,22,5.465203389573956,hormuz strait closure
Q2,168,deab82b1b7fc6cc2,23,5.421547651282774,hormuz strait closure
Q2,112,a201265974ea1c5c,24,5.398877456062362,hormuz strait closure
Q2,121,d8075cc28747e03c,25,5.398877456062362,hormuz strait closure
Q2,146,8a95e221cc9da4ed,26,5.398877456062362,hormuz strait closure
Q2,149,f6026a1873d1ee16,27,5.398877456062362,hormuz strait closure
Q2,152,23dda9968c58278e,28,5.398877456062362,hormuz strait closure
Q2,107,729c4f0b1b9c35e6,29,5.31811987968653,hormuz strait closure
Q3,252,0389df37799c6e00,0,8.499570681599376,revolutionary guard attack
Q3,275,a017d1e883785088,1,7.699934973364057,revolutionary guard attack
Q3,281,9c09bf7e82a91af3,2,7.4020648203542425,revolutionary guard attack
Q3,277,90678e27b20ef8d7,3,7.225678659937419,revolutionary guard attack
Q3,279,87dfe267e4222735,4,7.225678659937419,revolutionary guard attack
Q3,208,a1e2eed43ff89452,5,7.057503168868601,revolutionary guard attack
Q3,253,ef57fa463888bf7f,6,7.057503168868601,revolutionary guard attack
Q3,210,c7336c4c8f6047b6,7,6.7435929840842626,revolutionary guard attack
Q3,255,71e328aac1665185,8,6.7435929840842626,revolutionary guard attack
Q3,282,52db22c02154eb52,9,6.733656974251566,revolutionary guard attack
Q3,283,fdc6eecd2b96883f,10,6.733656974251566,revolutionary guard attack
Q3,294,9564052ee29b5c71,11,6.616778569128175,revolutionary guard attack
Q3,246,16368ac1a6fd1405,12,6.59688186295191,revolutionary guard attack
Q3,213,364fed8116cf25bd,13,6.5620208878611725,revolutionary guard attack
Q3,200,2c66c42738aad600,14,6.456418405996707,revolutionary guard attack
Q3,219,6ec73f4d43aac707,15,6.321811850180742,revolutionary guard attack
Q3,228,0ffd99102d6201c0,16,6.321811850180742,revolutionary guard attack
Q3,229,6e5ecd8e9d46975f,17,6.321811850180742,revolutionary guard attack
Q3,278,8f5cccd753d772f3,18,6.321811850180742,revolutionary guard attack
Q3,214,7825d86b29b21917,19,6.1927033542184775,revolutionary guard attack
Q3,242,31cd9fdb9bd4c0b9,20,6.1927033542184775,revolutionary guard attack
Q3,254,92cf12e3986123b0,21,6.1927033542184775,revolutionary guard attack
Q3,266,33e1ff89c85b7bd8,22,6.1927033542184775,revolutionary guard attack
Q3,207,89d7edcaaaf6fcf5,23,6.1376307763191775,revolutionary guard attack
Q3,237,bbaafe8baeec6f30,24,6.06876280417252,revolutionary guard attack
Q3,249,6dc8c9322fcf4eef,25,5.960707721932502,revolutionary guard attack
Q3,272,e0c31a44289c172e,26,5.960707721932502,revolutionary guard attack
Q3,289,5f20bbf1bc142d34,27,5.960707721932502,revolutionary guard attack
Q3,264,e2781067302db0e1,28,5.9496859951189345,revolutionary guard attack
Q3,269,4d0736098bd6835b,29,5.9496859951189345,revolutionary guard attack
Q4,336,472503ee214acfb0,0,7.7402030495305,iran supreme leader speech
Q4,305,3dcf23ffa1c095e3,1,7.154376489976396,iran supreme leader speech
Q4,354,723a421ddcfafd71,2,7.074058631615115,iran supreme leader speech
Q4,358,42fcd1c67a7be715,3,6.978585149151531,iran supreme leader speech
Q4,302,20656514792ad42b,4,6.9131569881793205,iran supreme leader speech
Q4,342,f26bdb20c51eb086,5,6.9131569881793205,iran supreme leader speech
Q4,345,42ccc2e73a3829a9,6,6.9131569881793205,iran supreme leader speech
Q4,359,d030f2fa54e4c6e8,7,6.9131569881793205,iran supreme leader speech
Q4,370,41345e17eaa986ed,8,6.9131569881793205,iran supreme leader speech
Q4,310,58f57040b8eb6e77,9,6.893930772092111,iran supreme leader speech
Q4,320,c881810f117984c8,10,6.893930772092111,iran supreme leader speech
Q4,380,38a6ec5938d1c0e5,11,6.516183201655769,iran supreme leader speech
Q4,337,07bab42a95b6fa5b,12,6.259716968188602,iran supreme leader speech
Q4,318,c0a08405db7915f6,13,6.1745484730193905,iran supreme leader speech
Q4,321,4eecf27dbfd3df11,14,6.1745484730193905,iran supreme leader speech
Q4,301,1f679fe6e0b1a540,15,5.738451383142619,iran supreme leader speech
Q4,335,09dfc10e9effcea3,16,5.634749564762083,iran supreme leader speech
Q4,355,a85475dccd3168e2,17,5.529647970681852,iran supreme leader speech
Q4,360,660b812458ff0696,18,5.529647970681852,iran supreme leader speech
Q4,369,2bdbf912e2f13863,19,5.529647970681852,iran supreme leader speech
Q4,300,cab94409f1e3bf21,20,5.430842699667497,iran supreme leader speech
Q4,309,17ee76fd41e23106,21,5.430842699667497,iran supreme leader speech
Q4,317,5028c36de3ab0be3,22,5.335506403577867,iran supreme leader speech
Q4,350,98a4fb824f19fedd,23,5.335506403577867,iran supreme leader speech
Q4,392,32f87e8c7f6dfad3,24,5.335506403577867,iran supreme leader speech
Q4,306,1803b125fd3e0cb7,25,5.263490662675844,iran supreme leader speech
Q4,343,103ead27b66d5282,26,5.263490662675844,iran supreme leader speech
Q4,353,1ad3e76d9cea351f,27,5.263490662675844,iran supreme leader speech
Q4,326,f2f8f4d10286c5c2,28,5.243459544677684,iran supreme leader speech
Q4,376,41006178940e74c2,29,5.243459544677684,iran supreme leader speech
Q5,401,f60eaf8f2905a3ba,0,3.068834656610197,u base iran missile
Q5,425,4902f77fa45d387b,1,3.0022677243716824,u base iran missile
Q5,482,2f2afbe16e4844e1,2,2.5719904100527646,u base iran missile
Q5,479,3184e5c81baacc39,3,2.5098049817784225,u base iran missile
Q5,446,a794b0ffbb93bb50,4,2.3334712120848145,u base iran missile
Q5,473,0e44d2f10d02faf1,5,2.3334712120848145,u base iran missile
Q5,487,4a4c0a5ded0f33ae,6,2.3334712120848145,u base iran missile
Q5,404,0ecec4813e87c79c,7,2.3135703031842523,u base iran missile
Q5,405,404b45ee58bae470,8,2.2804402112357796,u base iran missile
Q5,443,91398f315897b210,9,2.2804402112357796,u base iran missile
Q5,253,ef57fa463888bf7f,10,2.174441890292026,u base iran missile
Q5,419,9e55bc1dbd4a95f6,11,2.148754132909295,u base iran missile
