qid,docid,docno,rank,score,query
Q1,77,a2193c4052838008,0,3.179045967332125,iran regime collapse
Q1,1,f5db3a28381e9607,1,2.558524156829535,iran regime collapse
Q1,49,782eb9fe28396faa,2,2.525645370435587,iran regime collapse
Q1,35,59d55172c4c466b8,3,2.5078031061828012,iran regime collapse
Q1,82,87b36d126cd9c4d4,4,2.4775332989063856,iran regime collapse
Q1,16,31efc8ca23f3043d,5,2.440909418640015,iran regime collapse
Q1,25,e0a358186114dbb1,6,2.440909418640015,iran regime collapse
Q1,26,a77df25dafc79883,7,2.440909418640015,iran regime collapse
Q1,27,501b8de595d9b635,8,2.440909418640015,iran regime collapse
Q1,28,477f38ee2199b109,9,2.440909418640015,iran regime collapse
Q1,30,a2e3822f022b88ae,10,2.440909418640015,iran regime collapse
Q1,79,f792d44d9695270f,11,2.440909418640015,iran regime collapse
Q1,81,5954747c881eadca,12,2.440909418640015,iran regime collapse
Q1,47,7e783bf5b8b371b4,13,2.4352318927231953,iran regime collapse
Q1,71,431be9579a6a73af,14,2.4016384304795406,iran regime collapse
Q1,8,19192eb2ceefde71,15,2.3708320039452753,iran regime collapse
Q1,20,786c1d05c1753b54,16,2.3708320039452753,iran regime collapse
Q1,91,bd51c866aaded72d,17,2.3708320039452753,iran regime collapse
Q1,11,262794936f5da8da,18,2.3667427079699737,iran regime collapse
Q1,14,dfa82fd2c07d9ac3,19,2.337287690825443,iran regime collapse
Q1,7,633240933add1b56,20,2.333922739938786,iran regime collapse
Q1,95,50105a25e6fcf696,21,2.2887214837340535,iran regime collapse
Q1,59,d23d86babbf0f50c,22,2.2729800225905734,iran regime collapse
Q1,72,1367ac9a7d285e07,23,2.2729800225905734,iran regime collapse
Q1,74,81a094715680e74f,24,2.2407061385886,iran regime collapse
Q1,18,8e8733542d08f55a,25,2.227033551284907,iran regime collapse
Q1,22,3c1b8b6fedc05800,26,2.2121296433939324,iran regime collapse
Q1,23,6dbd6ef02b3960cc,27,2.2121296433939324,iran regime collapse
Q1,73,e303aa2c7848cef9,28,2.2121296433939324,iran regime collapse
Q1,87,ca102a2c7b8a63c1,29,2.2121296433939324,iran regime collapse
Q2,110,78cd3862708b2d91,0,6.943879925413924,hormuz strait closure
Q2,141,17a9a848788da71d,1,6.943879925413924,hormuz strait closure
Q2,128,ae487b936842cb13,2,6.204312585839413,hormuz strait closure
Q2,163,7c499165dc218d09,3,6.17094019359041,hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,4,6.105846261742798,hormuz strait closure
Q2,182,bddb5ea6752bf5d3,5,6.095003096316666,hormuz strait closure
Q2,184,6e6e778503059683,6,6.095003096316666,hormuz strait closure
Q2,119,5976e9ce43dc47f4,7,6.043397525458802,hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,8,5.979066985558944,hormuz strait closure
Q2,136,000e173c6069bdc1,9,5.966030043453942,hormuz strait closure
Q2,178,d7c7f92810d9f46d,10,5.954358682852185,hormuz strait closure
Q2,187,4dcdd20c47e563c2,11,5.820239229295054,hormuz strait closure
Q2,162,728dbdea3dbbcd3b,12,5.817089464074051,hormuz strait closure
Q2,138,2746a9b7afaf565d,13,5.784867830024538,hormuz strait closure
Q2,146,8a95e221cc9da4ed,14,5.745373494593018,hormuz strait closure
Q2,192,8046046d423b4056,15,5.693127363646343,hormuz strait closure
Q2,114,8029077ecba4a6d5,16,5.648196462916607,hormuz strait closure
Q2,186,b4ed6dbb5c28ebc1,17,5.607118800973264,hormuz strait closure
Q2,188,405d58e752110179,18,5.517691755598169,hormuz strait closure
Q2,157,d0c303845524684f,19,5.475361581257854,hormuz strait closure
Q2,107,729c4f0b1b9c35e6,20,5.356557738700282,hormuz strait closure
Q2,174,e5a2a656c428d005,21,5.349654314489522,hormuz strait closure
Q2,198,2247698dd4ee6eb3,22,5.349654314489522,hormuz strait closure
Q2,103,eaf5d63999a60631,23,5.288940673364492,hormuz strait closure
Q2,149,f6026a1873d1ee16,24,5.288940673364492,hormuz strait closure
Q2,166,e9b822e941614697,25,5.288940673364492,hormuz strait closure
Q2,197,703d3ec7e11b24e6,26,5.288940673364492,hormuz strait closure
Q2,117,2a2a4c5f30abd7c2,27,5.229589655354528,hormuz strait closure
Q2,122,7cb65008dfe2624b,28,5.229589655354528,hormuz strait closure
Q2,123,32407a4c4f3e815b,29,5.229589655354528,hormuz strait closure
Q3,275,a017d1e883785088,0,8.001369348387438,revolutionary guard attack
Q3,252,0389df37799c6e00,1,7.932864670021539,revolutionary guard attack
Q3,253,ef57fa463888bf7f,2,7.793289902546874,revolutionary guard attack
Q3,281,9c09bf7e82a91af3,3,7.688135589722411,revolutionary guard attack
Q3,208,a1e2eed43ff89452,4,7.585781177537638,revolutionary guard attack
Q3,277,90678e27b20ef8d7,5,7.486116307523158,revolutionary guard attack
Q3,279,87dfe267e4222735,6,7.486116307523158,revolutionary guard attack
Q3,255,71e328aac1665185,7,7.294442016275992,revolutionary guard attack
Q3,278,8f5cccd753d772f3,8,7.294442016275992,revolutionary guard attack
Q3,210,c7336c4c8f6047b6,9,7.202239062765841,revolutionary guard attack
Q3,219,6ec73f4d43aac707,10,7.202239062765841,revolutionary guard attack
Q3,213,364fed8116cf25bd,11,7.136222526911834,revolutionary guard attack
Q3,215,35b020c81924c843,12,7.054975157342758,revolutionary guard attack
Q3,200,2c66c42738aad600,13,6.939104767033845,revolutionary guard attack
Q3,243,987ff2313d03e337,14,6.939104767033845,revolutionary guard attack
Q3,207,89d7edcaaaf6fcf5,15,6.891360328036133,revolutionary guard attack
Q3,228,0ffd99102d6201c0,16,6.8556146506415425,revolutionary guard attack
