qid,docid,docno,rank,score,query
Q1,77,a2193c4052838008,0,2.975704785157795,iran regime collapse
Q1,1,f5db3a28381e9607,1,2.6776296049861528,iran regime collapse
Q1,34,1c0bb2b2fa2121b8,2,2.6776296049861528,iran regime collapse
Q1,49,782eb9fe28396faa,3,2.5665718907099837,iran regime collapse
Q1,91,bd51c866aaded72d,4,2.498327913534213,iran regime collapse
Q1,16,31efc8ca23f3043d,5,2.4654343577987743,iran regime collapse
Q1,25,e0a358186114dbb1,6,2.4654343577987743,iran regime collapse
Q1,26,a77df25dafc79883,7,2.4654343577987743,iran regime collapse
Q1,27,501b8de595d9b635,8,2.4654343577987743,iran regime collapse
Q1,28,477f38ee2199b109,9,2.4654343577987743,iran regime collapse
Q1,30,a2e3822f022b88ae,10,2.4654343577987743,iran regime collapse
Q1,79,f792d44d9695270f,11,2.4654343577987743,iran regime collapse
Q1,47,7e783bf5b8b371b4,12,2.426381487538533,iran regime collapse
Q1,71,431be9579a6a73af,13,2.4191436713846723,iran regime collapse
Q1,20,786c1d05c1753b54,14,2.4021879996965803,iran regime collapse
Q1,81,5954747c881eadca,15,2.3717702923707447,iran regime collapse
Q1,37,f6d3a4ce3c99762a,16,2.365857121434369,iran regime collapse
Q1,50,56b20406735643d1,17,2.3421157100479624,iran regime collapse
Q1,56,8734486dd3c5f4cf,18,2.3131957645483445,iran regime collapse
Q1,95,50105a25e6fcf696,19,2.3131957645483445,iran regime collapse
Q1,4,5be6f42915ac8782,20,2.308278744529551,iran regime collapse
Q1,35,59d55172c4c466b8,21,2.308278744529551,iran regime collapse
Q1,63,d9d8fb9ae5fbbd07,22,2.308278744529551,iran regime collapse
Q1,74,81a094715680e74f,23,2.308278744529551,iran regime collapse
Q1,18,8e8733542d08f55a,24,2.257452789915005,iran regime collapse
Q1,59,d23d86babbf0f50c,25,2.257452789915005,iran regime collapse
Q1,2,a5d3b15df7b31ca7,26,2.253436375650748,iran regime collapse
Q1,7,633240933add1b56,27,2.253436375650748,iran regime collapse
Q1,11,262794936f5da8da,28,2.253436375650748,iran regime collapse
Q1,24,b5eb1a9e0cbbe7eb,29,2.253436375650748,iran regime collapse
Q2,110,78cd3862708b2d91,0,6.966591030701537,hormuz strait closure
Q2,141,17a9a848788da71d,1,6.966591030701537,hormuz strait closure
Q2,163,7c499165dc218d09,2,6.627173721778687,hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,3,6.132531205738671,hormuz strait closure
Q2,114,8029077ecba4a6d5,4,6.023284020187784,hormuz strait closure
Q2,103,eaf5d63999a60631,5,5.885046159447933,hormuz strait closure
Q2,128,ae487b936842cb13,6,5.885046159447933,hormuz strait closure
Q2,182,bddb5ea6752bf5d3,7,5.8243447054709385,hormuz strait closure
Q2,184,6e6e778503059683,8,5.8243447054709385,hormuz strait closure
Q2,119,5976e9ce43dc47f4,9,5.757358346806226,hormuz strait closure
Q2,136,000e173c6069bdc1,10,5.757358346806226,hormuz strait closure
Q2,187,4dcdd20c47e563c2,11,5.748563578979756,hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,12,5.6863489651483015,hormuz strait closure
Q2,188,405d58e752110179,13,5.6863489651483015,hormuz strait closure
Q2,192,8046046d423b4056,14,5.6863489651483015,hormuz strait closure
Q2,162,728dbdea3dbbcd3b,15,5.635093750150092,hormuz strait closure
Q2,138,2746a9b7afaf565d,16,5.596186687003339,hormuz strait closure
Q2,178,d7c7f92810d9f46d,17,5.532893738336181,hormuz strait closure
Q2,165,b8b0ec62e58dba60,18,5.517914048134049,hormuz strait closure
Q2,186,b4ed6dbb5c28ebc1,19,5.517914048134049,hormuz strait closure
Q2,198,2247698dd4ee6eb3,20,5.517914048134049,hormuz strait closure
Q2,131,0b731b16cb647ee6,21,5.47234025047775,hormuz strait closure
Q2,133,d5120126774a6fb7,22,5.47234025047775,hormuz strait closure
Q2,168,deab82b1b7fc6cc2,23,5.428555947540964,hormuz strait closure
Q2,112,a201265974ea1c5c,24,5.405508487221958,hormuz strait closure
Q2,146,8a95e221cc9da4ed,25,5.405508487221958,hormuz strait closure
Q2,149,f6026a1873d1ee16,26,5.405508487221958,hormuz strait closure
Q2,152,23dda9968c58278e,27,5.405508487221958,hormuz strait closure
Q2,107,729c4f0b1b9c35e6,28,5.325224927584654,hormuz strait closure
Q2,166,e9b822e941614697,29,5.297591129822737,hormuz strait closure
Q3,252,0389df37799c6e00,0,8.46459308104335,revolutionary guard attack
Q3,275,a017d1e883785088,1,7.657012118734381,revolutionary guard attack
Q3,281,9c09bf7e82a91af3,2,7.3677160029758735,revolutionary guard attack
Q3,277,90678e27b20ef8d7,3,7.192666520851125,revolutionary guard attack
Q3,279,87dfe267e4222735,4,7.192666520851125,revolutionary guard attack
Q3,208,a1e2eed43ff89452,5,7.025741995349429,revolutionary guard attack
Q3,253,ef57fa463888bf7f,6,7.025741995349429,revolutionary guard attack
Q3,283,fdc6eecd2b96883f,7,6.893673544752595,revolutionary guard attack
Q3,282,52db22c02154eb52,8,6.802515646227411,revolutionary guard attack
Q3,210,c7336c4c8f6047b6,9,6.714105451805525,revolutionary guard attack
Q3,255,71e328aac1665185,10,6.714105451805525,revolutionary guard attack
Q3,294,9564052ee29b5c71,11,6.585378429044769,revolutionary guard attack
Q3,246,16368ac1a6fd1405,12,6.568429544470376,revolutionary guard attack
Q3,213,364fed8116cf25bd,13,6.543302153021251,revolutionary guard attack
Q3,200,2c66c42738aad600,14,6.4289408518194495,revolutionary guard attack
Q3,219,6ec73f4d43aac707,15,6.295253391291415,revolutionary guard attack
Q3,228,0ffd99102d6201c0,16,6.295253391291415,revolutionary guard attack
Q3,229,6e5ecd8e9d46975f,17,6.295253391291415,revolutionary guard attack
Q3,278,8f5cccd753d772f3,18,6.295253391291415,revolutionary guard attack
Q3,214,7825d86b29b21917,19,6.167012631765421,revolutionary guard attack
Q3,242,31cd9fdb9bd4c0b9,20,6.167012631765421,revolutionary guard attack
Q3,254,92cf12e3986123b0,21,6.167012631765421,revolutionary guard attack
Q3,266,33e1ff89c85b7bd8,22,6.167012631765421,revolutionary guard attack
Q3,207,89d7edcaaaf6fcf5,23,6.119128790029156,revolutionary guard attack
Q3,237,bbaafe8baeec6f30,24,6.0438923540263385,revolutionary guard attack
Q3,272,e0c31a44289c172e,25,5.928871505321138,revolutionary guard attack
Q3,289,5f20bbf1bc142d34,26,5.928871505321138,revolutionary guard attack
Q3,264,e2781067302db0e1,27,5.925591879941213,revolutionary guard attack
Q3,269,4d0736098bd6835b,28,5.925591879941213,revolutionary guard attack
Q3,270,32745968c8bcce5f,29,5.925591879941213,revolutionary guard attack
Q4,336,472503ee214acfb0,0,7.747357312057829,iran supreme leader speech
Q4,354,723a421ddcfafd71,1,7.248464576296692,iran supreme leader speech
Q4,370,41345e17eaa986ed,2,7.248464576296692,iran supreme leader speech
Q4,305,3dcf23ffa1c095e3,3,7.162507491360103,iran supreme leader speech
Q4,359,d030f2fa54e4c6e8,4,7.080245111859323,iran supreme leader speech
Q4,358,42fcd1c67a7be715,5,7.073630446957596,iran supreme leader speech
Q4,342,f26bdb20c51eb086,6,6.919656493784068,iran supreme leader speech
Q4,345,42ccc2e73a3829a9,7,6.919656493784068,iran supreme leader speech
Q4,310,58f57040b8eb6e77,8,6.90241666184766,iran supreme leader speech
Q4,320,c881810f117984c8,9,6.90241666184766,iran supreme leader speech
Q4,302,20656514792ad42b,10,6.766191006888775,iran supreme leader speech
