qid,docid,docno,rank,score,query
Q1,77,a2193c4052838008,0,2.951017996717293,Iran regime collapse
Q1,1,f5db3a28381e9607,1,2.6924868768353782,Iran regime collapse
Q1,34,1c0bb2b2fa2121b8,2,2.6924868768353782,Iran regime collapse
Q1,49,782eb9fe28396faa,3,2.58289075909059,Iran regime collapse
Q1,91,bd51c866aaded72d,4,2.5133984446617403,Iran regime collapse
Q1,16,31efc8ca23f3043d,5,2.4809765937142942,Iran regime collapse
Q1,25,e0a358186114dbb1,6,2.4809765937142942,Iran regime collapse
Q1,26,a77df25dafc79883,7,2.4809765937142942,Iran regime collapse
Q1,27,501b8de595d9b635,8,2.4809765937142942,Iran regime collapse
Q1,28,477f38ee2199b109,9,2.4809765937142942,Iran regime collapse
Q1,30,a2e3822f022b88ae,10,2.4809765937142942,Iran regime collapse
Q1,79,f792d44d9695270f,11,2.4809765937142942,Iran regime collapse
Q1,20,786c1d05c1753b54,12,2.4185879691921497,Iran regime collapse
Q1,71,431be9579a6a73af,13,2.4088438318697754,Iran regime collapse
Q1,81,5954747c881eadca,14,2.388559689085569,Iran regime collapse
Q1,37,f6d3a4ce3c99762a,15,2.3768278479926543,Iran regime collapse
Q1,47,7e783bf5b8b371b4,16,2.3768278479926543,Iran regime collapse
Q1,50,56b20406735643d1,17,2.359270313630637,Iran regime collapse
Q1,95,50105a25e6fcf696,18,2.33069277812929,Iran regime collapse
Q1,4,5be6f42915ac8782,19,2.3202202356400288,Iran regime collapse
Q1,35,59d55172c4c466b8,20,2.3202202356400288,Iran regime collapse
Q1,63,d9d8fb9ae5fbbd07,21,2.3202202356400288,Iran regime collapse
Q1,74,81a094715680e74f,22,2.3202202356400288,Iran regime collapse
Q1,18,8e8733542d08f55a,23,2.2755714588308034,Iran regime collapse
Q1,56,8734486dd3c5f4cf,24,2.2755714588308034,Iran regime collapse
Q1,2,a5d3b15df7b31ca7,25,2.2662462840756037,Iran regime collapse
Q1,7,633240933add1b56,26,2.2662462840756037,Iran regime collapse
