qid,docid,docno,rank,score,query
Q1,77,a2193c4052838008,0,0.23012708403454002,iran regime collapse
Q1,34,1c0bb2b2fa2121b8,1,0.22489476128251523,iran regime collapse
Q1,1,f5db3a28381e9607,2,0.22146113545969218,iran regime collapse
Q1,54,272d82c01b434295,3,0.19294640754560444,iran regime collapse
Q1,32,f9c61b6f6fdb3545,4,0.163381916626071,iran regime collapse
Q1,49,782eb9fe28396faa,5,0.14606312087237977,iran regime collapse
Q1,41,8cf97ae2fa9c2f7f,6,0.1382547968886947,iran regime collapse
Q1,71,431be9579a6a73af,7,0.12874830044286137,iran regime collapse
Q1,67,a9ab4ef7ea69595d,8,0.12279426601971606,iran regime collapse
Q1,16,31efc8ca23f3043d,9,0.1226388501644888,iran regime collapse
Q1,25,e0a358186114dbb1,10,0.1226388501644888,iran regime collapse
Q1,26,a77df25dafc79883,11,0.1226388501644888,iran regime collapse
Q1,27,501b8de595d9b635,12,0.1226388501644888,iran regime collapse
Q1,28,477f38ee2199b109,13,0.1226388501644888,iran regime collapse
Q1,30,a2e3822f022b88ae,14,0.1226388501644888,iran regime collapse
Q1,79,f792d44d9695270f,15,0.1226388501644888,iran regime collapse
Q1,91,bd51c866aaded72d,16,0.1226388501644888,iran regime collapse
Q1,304,e71e2d5c83d49d07,17,0.11908260567506904,iran regime collapse
Q1,58,c3398d6be2b63fab,18,0.1189123421874927,iran regime collapse
Q1,20,786c1d05c1753b54,19,0.11748329848559057,iran regime collapse
Q1,81,5954747c881eadca,20,0.11576614507180777,iran regime collapse
Q1,50,56b20406735643d1,21,0.11404967266276751,iran regime collapse
Q1,56,8734486dd3c5f4cf,22,0.11233388071852557,iran regime collapse
Q1,18,8e8733542d08f55a,23,0.11061876869978009,iran regime collapse
Q1,95,50105a25e6fcf696,24,0.11061876869978009,iran regime collapse
Q1,59,d23d86babbf0f50c,25,0.10890433606786856,iran regime collapse
Q1,87,ca102a2c7b8a63c1,26,0.10890433606786856,iran regime collapse
Q1,8,19192eb2ceefde71,27,0.10719058228477028,iran regime collapse
Q1,73,e303aa2c7848cef9,28,0.10719058228477028,iran regime collapse
Q1,82,87b36d126cd9c4d4,29,0.10719058228477028,iran regime collapse
Q2,182,bddb5ea6752bf5d3,0,0.19719526794427072,hormuz strait closure
Q2,184,6e6e778503059683,1,0.19719526794427072,hormuz strait closure
Q2,187,4dcdd20c47e563c2,2,0.19376843868950394,hormuz strait closure
Q2,233,352bccacf108c6c6,3,0.1913605011782073,hormuz strait closure
Q2,178,d7c7f92810d9f46d,4,0.19034432053411351,hormuz strait closure
Q2,114,8029077ecba4a6d5,5,0.18836486853265078,hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,6,0.18150033874684032,hormuz strait closure
Q2,188,405d58e752110179,7,0.18150033874684032,hormuz strait closure
Q2,192,8046046d423b4056,8,0.18150033874684032,hormuz strait closure
Q2,163,7c499165dc218d09,9,0.16586587978664707,hormuz strait closure
Q2,131,0b731b16cb647ee6,10,0.16091671520149067,hormuz strait closure
Q2,133,d5120126774a6fb7,11,0.16091671520149067,hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,12,0.15897402303952674,hormuz strait closure
Q2,138,2746a9b7afaf565d,13,0.14964299885963298,hormuz strait closure
Q2,168,deab82b1b7fc6cc2,14,0.14693961772543093,hormuz strait closure
Q2,107,729c4f0b1b9c35e6,15,0.14449153807769705,hormuz strait closure
Q2,101,bee41c435a25013d,16,0.1417922413534033,hormuz strait closure
Q2,129,33b1aac311c61ffd,17,0.1417922413534033,hormuz strait closure
Q2,144,f0139e88f8e56272,18,0.1417922413534033,hormuz strait closure
Q2,156,70247434fb1fdd3c,19,0.14007780872149173,hormuz strait closure
Q2,132,210170889b689b87,20,0.13665097946672497,hormuz strait closure
Q2,191,09cf63d8d1b24c24,21,0.13665097946672497,hormuz strait closure
Q2,145,ca119bbd589c7866,22,0.13420697453104785,hormuz strait closure
Q2,150,ec6bf2de73bdc8b8,23,0.13420697453104785,hormuz strait closure
Q2,110,78cd3862708b2d91,24,0.13405645742120686,hormuz strait closure
Q2,141,17a9a848788da71d,25,0.13405645742120686,hormuz strait closure
Q2,227,b8c63d069fd1748c,26,0.1327327539953581,hormuz strait closure
Q2,318,c0a08405db7915f6,27,0.1315907036809124,hormuz strait closure
Q2,321,4eecf27dbfd3df11,28,0.1315907036809124,hormuz strait closure
Q2,193,054a83b1aa45cd1a,29,0.12394679163992822,hormuz strait closure
Q3,252,0389df37799c6e00,0,0.39362830807498206,revolutionary guard attack
Q3,282,52db22c02154eb52,1,0.2340723063652195,revolutionary guard attack
Q3,283,fdc6eecd2b96883f,2,0.2340723063652195,revolutionary guard attack
Q3,213,364fed8116cf25bd,3,0.23064547711045272,revolutionary guard attack
Q3,207,89d7edcaaaf6fcf5,4,0.22474384632518432,revolutionary guard attack
Q3,294,9564052ee29b5c71,5,0.21661104937081654,revolutionary guard attack
Q3,275,a017d1e883785088,6,0.1855592808045444,revolutionary guard attack
Q3,258,f083bb5fe51afc68,7,0.1683375719353108,revolutionary guard attack
Q3,233,352bccacf108c6c6,8,0.1659467076884863,revolutionary guard attack
Q3,249,6dc8c9322fcf4eef,9,0.16147607410316092,revolutionary guard attack
Q3,272,e0c31a44289c172e,10,0.16147607410316092,revolutionary guard attack
Q3,289,5f20bbf1bc142d34,11,0.16147607410316092,revolutionary guard attack
Q3,259,d0e5ee78a05302ca,12,0.15804652945250391,revolutionary guard attack
Q3,215,35b020c81924c843,13,0.15633277566940565,revolutionary guard attack
Q3,265,ac8e586fbfdb0b9b,14,0.15633277566940565,revolutionary guard attack
Q3,276,580d1704cf659707,15,0.15633277566940565,revolutionary guard attack
Q3,231,3956501260187572,16,0.15461970019773713,revolutionary guard attack
Q3,262,6e4708247cd9f622,17,0.1529073025007537,revolutionary guard attack
Q3,273,40f12118886e3df9,18,0.1529073025007537,revolutionary guard attack
Q3,274,19966fbee4ec91da,19,0.15119558204234673,revolutionary guard attack
Q3,281,9c09bf7e82a91af3,20,0.1475765512325085,revolutionary guard attack
Q3,277,90678e27b20ef8d7,21,0.14585118341110737,revolutionary guard attack
Q3,279,87dfe267e4222735,22,0.14585118341110737,revolutionary guard attack
Q3,208,a1e2eed43ff89452,23,0.1441265031242222,revolutionary guard attack
Q3,253,ef57fa463888bf7f,24,0.1441265031242222,revolutionary guard attack
Q3,210,c7336c4c8f6047b6,25,0.14067920296374398,revolutionary guard attack
Q3,255,71e328aac1665185,26,0.14067920296374398,revolutionary guard attack
Q3,246,16368ac1a6fd1405,27,0.13895658199665892,revolutionary guard attack
Q3,200,2c66c42738aad600,28,0.13723464637710187,revolutionary guard attack
Q3,219,6ec73f4d43aac707,29,0.13551339555995706,revolutionary guard attack
Q4,336,472503ee214acfb0,0,0.34285685614843076,iran supreme leader speech
Q4,337,07bab42a95b6fa5b,1,0.33672692919422387,iran supreme leader speech
Q4,318,c0a08405db7915f6,2,0.3344428285653326,iran supreme leader speech
Q4,321,4eecf27dbfd3df11,3,0.3344428285653326,iran supreme leader speech
Q4,305,3dcf23ffa1c095e3,4,0.32912234709430094,iran supreme leader speech
Q4,358,42fcd1c67a7be715,5,0.3245514318742879,iran supreme leader speech
Q4,310,58f57040b8eb6e77,6,0.3222673312453965,iran supreme leader speech
Q4,320,c881810f117984c8,7,0.3222673312453965,iran supreme leader speech
Q4,312,f85ba86a19b19d61,8,0.25428817424940375,iran supreme leader speech
Q4,335,09dfc10e9effcea3,9,0.23983218681342144,iran supreme leader speech
Q4,354,723a421ddcfafd71,10,0.22194972883195319,iran supreme leader speech
Q4,302,20656514792ad42b,11,0.21965107109849108,iran supreme leader speech
Q4,342,f26bdb20c51eb086,12,0.21965107109849108,iran supreme leader speech
Q4,345,42ccc2e73a3829a9,13,0.21965107109849108,iran supreme leader speech
Q4,359,d030f2fa54e4c6e8,14,0.21965107109849108,iran supreme leader speech
