qid,docid,docno,rank,score,query
Q1,77,a2193c4052838008,0,0.41714330854801274,iran regime collapse
Q1,1,f5db3a28381e9607,1,0.36685885483066,iran regime collapse
Q1,54,272d82c01b434295,2,0.3270181297322927,iran regime collapse
Q1,34,1c0bb2b2fa2121b8,3,0.28034094565918427,iran regime collapse
Q1,32,f9c61b6f6fdb3545,4,0.2701412116628974,iran regime collapse
Q1,49,782eb9fe28396faa,5,0.2471459209907174,iran regime collapse
Q1,41,8cf97ae2fa9c2f7f,6,0.24687418055880914,iran regime collapse
Q1,71,431be9579a6a73af,7,0.22075269402815142,iran regime collapse
Q1,82,87b36d126cd9c4d4,8,0.21188002772130754,iran regime collapse
Q1,58,c3398d6be2b63fab,9,0.2091896663146732,iran regime collapse
Q1,16,31efc8ca23f3043d,10,0.20846266858390322,iran regime collapse
Q1,25,e0a358186114dbb1,11,0.20846266858390322,iran regime collapse
Q1,26,a77df25dafc79883,12,0.20846266858390322,iran regime collapse
Q1,27,501b8de595d9b635,13,0.20846266858390322,iran regime collapse
Q1,28,477f38ee2199b109,14,0.20846266858390322,iran regime collapse
Q1,30,a2e3822f022b88ae,15,0.20846266858390322,iran regime collapse
Q1,79,f792d44d9695270f,16,0.20846266858390322,iran regime collapse
Q1,81,5954747c881eadca,17,0.20846266858390322,iran regime collapse
Q1,8,19192eb2ceefde71,18,0.2016360344830136,iran regime collapse
Q1,20,786c1d05c1753b54,19,0.2016360344830136,iran regime collapse
Q1,91,bd51c866aaded72d,20,0.2016360344830136,iran regime collapse
Q1,304,e71e2d5c83d49d07,21,0.20127385720421692,iran regime collapse
Q1,14,dfa82fd2c07d9ac3,22,0.19822675102774695,iran regime collapse
Q1,67,a9ab4ef7ea69595d,23,0.19742929828509942,iran regime collapse
Q1,95,50105a25e6fcf696,24,0.19311785593601274,iran regime collapse
Q1,59,d23d86babbf0f50c,25,0.1914162301532651,iran regime collapse
Q1,72,1367ac9a7d285e07,26,0.1914162301532651,iran regime collapse
Q1,18,8e8733542d08f55a,27,0.18631536318374745,iran regime collapse
Q1,22,3c1b8b6fedc05800,28,0.18461640923743022,iran regime collapse
Q1,23,6dbd6ef02b3960cc,29,0.18461640923743022,iran regime collapse
Q2,182,bddb5ea6752bf5d3,0,0.34849455751785907,hormuz strait closure
Q2,184,6e6e778503059683,1,0.34849455751785907,hormuz strait closure
Q2,178,d7c7f92810d9f46d,2,0.3433816388811125,hormuz strait closure
Q2,233,352bccacf108c6c6,3,0.3396692230747339,hormuz strait closure
Q2,187,4dcdd20c47e563c2,4,0.33827475318811057,hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,5,0.3234587960380413,hormuz strait closure
Q2,192,8046046d423b4056,6,0.31323094144138663,hormuz strait closure
Q2,114,8029077ecba4a6d5,7,0.31152864638594446,hormuz strait closure
Q2,188,405d58e752110179,8,0.3064257747521892,hormuz strait closure
Q2,163,7c499165dc218d09,9,0.2761164332877243,hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,10,0.27440200065581277,hormuz strait closure
Q2,138,2746a9b7afaf565d,11,0.2646280726356216,hormuz strait closure
Q2,131,0b731b16cb647ee6,12,0.2619057767536793,hormuz strait closure
