qid,docid,docno,rank,score,query
Q1,77,a2193c4052838008,0,0.23107653727631344,iran regime collapse
Q1,1,f5db3a28381e9607,1,0.22235706885856185,iran regime collapse
Q1,34,1c0bb2b2fa2121b8,2,0.22235706885856185,iran regime collapse
Q1,54,272d82c01b434295,3,0.1937281082933025,iran regime collapse
Q1,32,f9c61b6f6fdb3545,4,0.16407789426229097,iran regime collapse
Q1,49,782eb9fe28396faa,5,0.14673635325796927,iran regime collapse
Q1,41,8cf97ae2fa9c2f7f,6,0.1388141760843864,iran regime collapse
Q1,71,431be9579a6a73af,7,0.12934060698315752,iran regime collapse
Q1,67,a9ab4ef7ea69595d,8,0.12335364521540776,iran regime collapse
Q1,91,bd51c866aaded72d,9,0.12317548410955007,iran regime collapse
Q1,16,31efc8ca23f3043d,10,0.1214562844354387,iran regime collapse
Q1,25,e0a358186114dbb1,11,0.1214562844354387,iran regime collapse
Q1,26,a77df25dafc79883,12,0.1214562844354387,iran regime collapse
Q1,27,501b8de595d9b635,13,0.1214562844354387,iran regime collapse
Q1,28,477f38ee2199b109,14,0.1214562844354387,iran regime collapse
Q1,30,a2e3822f022b88ae,15,0.1214562844354387,iran regime collapse
Q1,79,f792d44d9695270f,16,0.1214562844354387,iran regime collapse
Q1,304,e71e2d5c83d49d07,17,0.11956200213815127,iran regime collapse
Q1,20,786c1d05c1753b54,18,0.11801993243065181,iran regime collapse
Q1,58,c3398d6be2b63fab,19,0.11765260007643094,iran regime collapse
Q1,81,5954747c881eadca,20,0.11630277901686902,iran regime collapse
Q1,50,56b20406735643d1,21,0.11458630660782876,iran regime collapse
Q1,56,8734486dd3c5f4cf,22,0.11287051466358682,iran regime collapse
Q1,95,50105a25e6fcf696,23,0.11287051466358682,iran regime collapse
Q1,18,8e8733542d08f55a,24,0.10944097001292981,iran regime collapse
Q1,59,d23d86babbf0f50c,25,0.10944097001292981,iran regime collapse
Q1,8,19192eb2ceefde71,26,0.10772721622983156,iran regime collapse
Q1,87,ca102a2c7b8a63c1,27,0.10772721622983156,iran regime collapse
Q1,72,1367ac9a7d285e07,28,0.10601414075816303,iran regime collapse
Q1,73,e303aa2c7848cef9,29,0.10601414075816303,iran regime collapse
Q2,182,bddb5ea6752bf5d3,0,0.19807225261372327,hormuz strait closure
Q2,184,6e6e778503059683,1,0.19807225261372327,hormuz strait closure
Q2,187,4dcdd20c47e563c2,2,0.196358498830625,hormuz strait closure
Q2,233,352bccacf108c6c6,3,0.19223013338748518,hormuz strait closure
Q2,178,d7c7f92810d9f46d,4,0.19122130520356606,hormuz strait closure
Q2,114,8029077ecba4a6d5,5,0.1891829398219029,hormuz strait closure
