qid,docid,docno,rank,score,query
Q1,34,1c0bb2b2fa2121b8,0,5.5829257626186894,iran regime collapse
Q1,1,f5db3a28381e9607,1,5.500753542477133,iran regime collapse
Q1,54,272d82c01b434295,2,5.435028499105252,iran regime collapse
Q1,41,8cf97ae2fa9c2f7f,3,5.025996388162468,iran regime collapse
Q1,32,f9c61b6f6fdb3545,4,4.788274304166948,iran regime collapse
Q1,37,f6d3a4ce3c99762a,5,4.595571633084921,iran regime collapse
Q1,4,5be6f42915ac8782,6,4.584889040847068,iran regime collapse
Q1,35,59d55172c4c466b8,7,4.584889040847068,iran regime collapse
Q1,63,d9d8fb9ae5fbbd07,8,4.584889040847068,iran regime collapse
Q1,74,81a094715680e74f,9,4.584889040847068,iran regime collapse
Q1,58,c3398d6be2b63fab,10,4.55499568846864,iran regime collapse
Q1,47,7e783bf5b8b371b4,11,4.554299135646238,iran regime collapse
Q1,2,a5d3b15df7b31ca7,12,4.543667403490337,iran regime collapse
Q1,7,633240933add1b56,13,4.543667403490337,iran regime collapse
Q1,11,262794936f5da8da,14,4.543667403490337,iran regime collapse
Q1,24,b5eb1a9e0cbbe7eb,15,4.543667403490337,iran regime collapse
Q1,0,3fcdb9735ec81d75,16,4.5019420883819885,iran regime collapse
Q1,42,6761da0022fcff68,17,4.5019420883819885,iran regime collapse
Q1,46,d070237f96c6ad72,18,4.5019420883819885,iran regime collapse
Q1,16,31efc8ca23f3043d,19,4.49003330997817,iran regime collapse
Q1,25,e0a358186114dbb1,20,4.49003330997817,iran regime collapse
Q1,26,a77df25dafc79883,21,4.49003330997817,iran regime collapse
Q1,27,501b8de595d9b635,22,4.49003330997817,iran regime collapse
Q1,28,477f38ee2199b109,23,4.49003330997817,iran regime collapse
Q1,30,a2e3822f022b88ae,24,4.49003330997817,iran regime collapse
Q1,79,f792d44d9695270f,25,4.49003330997817,iran regime collapse
Q1,91,bd51c866aaded72d,26,4.49003330997817,iran regime collapse
Q1,67,a9ab4ef7ea69595d,27,4.46891591237506,iran regime collapse
Q1,65,5cf68c9137cb7074,28,4.356288901544848,iran regime collapse
Q1,77,a2193c4052838008,29,4.35491444967803,iran regime collapse
Q2,114,8029077ecba4a6d5,0,5.7016953963966355,hormuz strait closure
Q2,163,7c499165dc218d09,1,5.553511026728365,hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,2,5.476629023779911,hormuz strait closure
Q2,188,405d58e752110179,3,5.476629023779911,hormuz strait closure
Q2,192,8046046d423b4056,4,5.476629023779911,hormuz strait closure
Q2,182,bddb5ea6752bf5d3,5,5.475242093228774,hormuz strait closure
Q2,184,6e6e778503059683,6,5.475242093228774,hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,7,5.454499008212866,hormuz strait closure
Q2,187,4dcdd20c47e563c2,8,5.3624415239584415,hormuz strait closure
Q2,178,d7c7f92810d9f46d,9,5.250456895072923,hormuz strait closure
Q2,138,2746a9b7afaf565d,10,5.167214041220542,hormuz strait closure
Q2,103,eaf5d63999a60631,11,5.0957473768209836,hormuz strait closure
Q2,128,ae487b936842cb13,12,5.0957473768209836,hormuz strait closure
Q2,168,deab82b1b7fc6cc2,13,5.044575042003376,hormuz strait closure
