qid,docid,docno,rank,score,query
Q1,41,8cf97ae2fa9c2f7f,0,5.784842765549799,iran regime collapse
Q1,54,272d82c01b434295,1,5.75542216499641,iran regime collapse
Q1,1,f5db3a28381e9607,2,5.705653105336507,iran regime collapse
Q1,35,59d55172c4c466b8,3,5.531839114338581,iran regime collapse
Q1,47,7e783bf5b8b371b4,4,5.447347158315348,iran regime collapse
Q1,77,a2193c4052838008,5,5.436751851001656,iran regime collapse
Q1,11,262794936f5da8da,6,5.322289115122406,iran regime collapse
Q1,7,633240933add1b56,7,5.253094553702777,iran regime collapse
Q1,0,3fcdb9735ec81d75,8,5.20762765801544,iran regime collapse
Q1,42,6761da0022fcff68,9,5.20762765801544,iran regime collapse
Q1,46,d070237f96c6ad72,10,5.20762765801544,iran regime collapse
Q1,34,1c0bb2b2fa2121b8,11,5.171910746871245,iran regime collapse
Q1,58,c3398d6be2b63fab,12,5.164352750180377,iran regime collapse
Q1,74,81a094715680e74f,13,5.0374189526514765,iran regime collapse
Q1,51,3298331cea9ae67e,14,5.018066169855241,iran regime collapse
Q1,65,5cf68c9137cb7074,15,5.018066169855241,iran regime collapse
Q1,2,a5d3b15df7b31ca7,16,4.965475808322557,iran regime collapse
Q1,4,5be6f42915ac8782,17,4.965475808322557,iran regime collapse
Q1,32,f9c61b6f6fdb3545,18,4.913268681398796,iran regime collapse
Q1,24,b5eb1a9e0cbbe7eb,19,4.824018229909274,iran regime collapse
Q1,37,f6d3a4ce3c99762a,20,4.824018229909274,iran regime collapse
Q1,66,eb3c1172fcc3be8f,21,4.824018229909274,iran regime collapse
Q1,82,87b36d126cd9c4d4,22,4.8121158109988,iran regime collapse
Q1,60,9b8bef2e2b800cac,23,4.7765154400600105,iran regime collapse
Q1,16,31efc8ca23f3043d,24,4.70775116316449,iran regime collapse
Q1,25,e0a358186114dbb1,25,4.70775116316449,iran regime collapse
Q1,26,a77df25dafc79883,26,4.70775116316449,iran regime collapse
Q1,27,501b8de595d9b635,27,4.70775116316449,iran regime collapse
Q1,28,477f38ee2199b109,28,4.70775116316449,iran regime collapse
Q1,30,a2e3822f022b88ae,29,4.70775116316449,iran regime collapse
Q2,110,78cd3862708b2d91,0,6.2265667324075755,hormuz strait closure
Q2,141,17a9a848788da71d,1,6.2265667324075755,hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,2,6.1672682625955115,hormuz strait closure
Q2,182,bddb5ea6752bf5d3,3,6.139092403549009,hormuz strait closure
Q2,184,6e6e778503059683,4,6.139092403549009,hormuz strait closure
Q2,163,7c499165dc218d09,5,6.067113360402739,hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,6,6.011800390907451,hormuz strait closure
Q2,178,d7c7f92810d9f46d,7,6.0010313558767745,hormuz strait closure
Q2,192,8046046d423b4056,8,5.886317996113975,hormuz strait closure
Q2,187,4dcdd20c47e563c2,9,5.867700750102879,hormuz strait closure
Q2,114,8029077ecba4a6d5,10,5.8414029150261895,hormuz strait closure
Q2,128,ae487b936842cb13,11,5.816283133462391,hormuz strait closure
Q2,138,2746a9b7afaf565d,12,5.738189050245934,hormuz strait closure
Q2,188,405d58e752110179,13,5.709958839456148,hormuz strait closure
Q2,119,5976e9ce43dc47f4,14,5.683405719693726,hormuz strait closure
Q2,136,000e173c6069bdc1,15,5.617554568970034,hormuz strait closure
Q2,162,728dbdea3dbbcd3b,16,5.488214657649841,hormuz strait closure
Q2,146,8a95e221cc9da4ed,17,5.424998710794605,hormuz strait closure
Q2,107,729c4f0b1b9c35e6,18,5.338806005789718,hormuz strait closure
Q2,186,b4ed6dbb5c28ebc1,19,5.301849805052569,hormuz strait closure
Q2,168,deab82b1b7fc6cc2,20,5.204302969254584,hormuz strait closure
Q2,157,d0c303845524684f,21,5.183281170776559,hormuz strait closure
Q2,129,33b1aac311c61ffd,22,5.115774901517504,hormuz strait closure
Q2,132,210170889b689b87,23,5.115774901517504,hormuz strait closure
Q2,174,e5a2a656c428d005,24,5.069327897194399,hormuz strait closure
Q2,198,2247698dd4ee6eb3,25,5.069327897194399,hormuz strait closure
Q2,144,f0139e88f8e56272,26,5.029870973776322,hormuz strait closure
Q2,103,eaf5d63999a60631,27,5.0140529144746875,hormuz strait closure
Q2,149,f6026a1873d1ee16,28,5.0140529144746875,hormuz strait closure
Q2,166,e9b822e941614697,29,5.0140529144746875,hormuz strait closure
Q3,252,0389df37799c6e00,0,7.295140942829787,revolutionary guard attack
Q3,275,a017d1e883785088,1,6.8105034470952415,revolutionary guard attack
Q3,213,364fed8116cf25bd,2,6.457498512111958,revolutionary guard attack
Q3,253,ef57fa463888bf7f,3,6.374097359001427,revolutionary guard attack
Q3,281,9c09bf7e82a91af3,4,6.312620387264806,revolutionary guard attack
Q3,208,a1e2eed43ff89452,5,6.2497659629904545,revolutionary guard attack
Q3,215,35b020c81924c843,6,6.189465509869551,revolutionary guard attack
Q3,277,90678e27b20ef8d7,7,6.1862565115744115,revolutionary guard attack
Q3,279,87dfe267e4222735,8,6.1862565115744115,revolutionary guard attack
Q3,207,89d7edcaaaf6fcf5,9,6.153055713918951,revolutionary guard attack
Q3,255,71e328aac1665185,10,6.059203300628565,revolutionary guard attack
Q3,278,8f5cccd753d772f3,11,6.059203300628565,revolutionary guard attack
Q3,210,c7336c4c8f6047b6,12,5.996302149100924,revolutionary guard attack
Q3,219,6ec73f4d43aac707,13,5.996302149100924,revolutionary guard attack
Q3,294,9564052ee29b5c71,14,5.968287555664718,revolutionary guard attack
Q3,200,2c66c42738aad600,15,5.8122929870696804,revolutionary guard attack
Q3,243,987ff2313d03e337,16,5.8122929870696804,revolutionary guard attack
Q3,272,e0c31a44289c172e,17,5.8060869084900695,revolutionary guard attack
Q3,289,5f20bbf1bc142d34,18,5.761094487196971,revolutionary guard attack
Q3,228,0ffd99102d6201c0,19,5.752845340893567,revolutionary guard attack
Q3,229,6e5ecd8e9d46975f,20,5.752845340893567,revolutionary guard attack
Q3,237,bbaafe8baeec6f30,21,5.637064925855867,revolutionary guard attack
Q3,254,92cf12e3986123b0,22,5.637064925855867,revolutionary guard attack
Q3,266,33e1ff89c85b7bd8,23,5.637064925855867,revolutionary guard attack
Q3,268,5f8ae337e78a72a7,24,5.637064925855867,revolutionary guard attack
Q3,259,d0e5ee78a05302ca,25,5.545631204428485,revolutionary guard attack
Q3,283,fdc6eecd2b96883f,26,5.531270708044634,revolutionary guard attack
Q3,246,16368ac1a6fd1405,27,5.471334026601279,revolutionary guard attack
Q3,282,52db22c02154eb52,28,5.450791120417651,revolutionary guard attack
Q3,273,40f12118886e3df9,29,5.423600527903128,revolutionary guard attack
Q4,336,472503ee214acfb0,0,8.33506469728249,iran supreme leader speech
Q4,345,42ccc2e73a3829a9,1,8.18910411486957,iran supreme leader speech
Q4,318,c0a08405db7915f6,2,8.052845844320823,iran supreme leader speech
Q4,321,4eecf27dbfd3df11,3,8.052845844320823,iran supreme leader speech
Q4,343,103ead27b66d5282,4,7.861194590911968,iran supreme leader speech
Q4,353,1ad3e76d9cea351f,5,7.861194590911968,iran supreme leader speech
Q4,359,d030f2fa54e4c6e8,6,7.672324697511968,iran supreme leader speech
Q4,354,723a421ddcfafd71,7,7.586415780804408,iran supreme leader speech
Q4,305,3dcf23ffa1c095e3,8,7.560167800419379,iran supreme leader speech
Q4,302,20656514792ad42b,9,7.5016196924500385,iran supreme leader speech
Q4,320,c881810f117984c8,10,7.451690188924763,iran supreme leader speech
Q4,342,f26bdb20c51eb086,11,7.418094457410183,iran supreme leader speech
Q4,370,41345e17eaa986ed,12,7.33594609650063,iran supreme leader speech
Q4,306,1803b125fd3e0cb7,13,7.327247347043612,iran supreme leader speech
Q4,358,42fcd1c67a7be715,14,7.192390248740611,iran supreme leader speech
Q4,312,f85ba86a19b19d61,15,7.150929091092862,iran supreme leader speech
Q4,337,07bab42a95b6fa5b,16,6.886553392388444,iran supreme leader speech
Q4,301,1f679fe6e0b1a540,17,6.662925600403552,iran supreme leader speech
Q4,311,ed13e766b6157a94,18,6.661961003233693,iran supreme leader speech
Q4,304,e71e2d5c83d49d07,19,6.5418289199577675,iran supreme leader speech
Q4,340,c3181e18b33aad49,20,6.5418289199577675,iran supreme leader speech
Q4,389,34bb0a8196ee3e3c,21,6.5418289199577675,iran supreme leader speech
Q4,300,cab94409f1e3bf21,22,6.528957171187436,iran supreme leader speech
Q4,349,98163432e6a01dcd,23,6.483226736311218,iran supreme leader speech
Q4,310,58f57040b8eb6e77,24,6.4598322931355145,iran supreme leader speech
