qid,docid,docno,rank,score,query
Q1,1,f5db3a28381e9607,0,5.508281247132303,iran regime collapse
Q1,34,1c0bb2b2fa2121b8,1,5.508281247132303,iran regime collapse
Q1,54,272d82c01b434295,2,5.442606557386863,iran regime collapse
Q1,41,8cf97ae2fa9c2f7f,3,5.032442581058852,iran regime collapse
Q1,32,f9c61b6f6fdb3545,4,4.795349580359476,iran regime collapse
Q1,37,f6d3a4ce3c99762a,5,4.600560092112003,iran regime collapse
Q1,4,5be6f42915ac8782,6,4.590087517463396,iran regime collapse
Q1,35,59d55172c4c466b8,7,4.590087517463396,iran regime collapse
Q1,63,d9d8fb9ae5fbbd07,8,4.590087517463396,iran regime collapse
Q1,74,81a094715680e74f,9,4.590087517463396,iran regime collapse
Q1,47,7e783bf5b8b371b4,10,4.559014307180322,iran regime collapse
Q1,2,a5d3b15df7b31ca7,11,4.54903222088023,iran regime collapse
Q1,7,633240933add1b56,12,4.54903222088023,iran regime collapse
Q1,11,262794936f5da8da,13,4.54903222088023,iran regime collapse
Q1,24,b5eb1a9e0cbbe7eb,14,4.54903222088023,iran regime collapse
Q1,58,c3398d6be2b63fab,15,4.519955028901136,iran regime collapse
Q1,0,3fcdb9735ec81d75,16,4.508034568133068,iran regime collapse
Q1,42,6761da0022fcff68,17,4.508034568133068,iran regime collapse
Q1,46,d070237f96c6ad72,18,4.508034568133068,iran regime collapse
Q1,91,bd51c866aaded72d,19,4.496460919046908,iran regime collapse
Q1,67,a9ab4ef7ea69595d,20,4.4759750893073935,iran regime collapse
Q1,16,31efc8ca23f3043d,21,4.430646510481729,iran regime collapse
Q1,25,e0a358186114dbb1,22,4.430646510481729,iran regime collapse
Q1,26,a77df25dafc79883,23,4.430646510481729,iran regime collapse
Q1,27,501b8de595d9b635,24,4.430646510481729,iran regime collapse
Q1,28,477f38ee2199b109,25,4.430646510481729,iran regime collapse
Q1,30,a2e3822f022b88ae,26,4.430646510481729,iran regime collapse
Q1,79,f792d44d9695270f,27,4.430646510481729,iran regime collapse
Q1,65,5cf68c9137cb7074,28,4.362511039017666,iran regime collapse
Q1,77,a2193c4052838008,29,4.361791665043108,iran regime collapse
Q2,114,8029077ecba4a6d5,0,5.710004389493895,hormuz strait closure
Q2,163,7c499165dc218d09,1,5.5602215278202465,hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,2,5.485200224331298,hormuz strait closure
Q2,188,405d58e752110179,3,5.485200224331298,hormuz strait closure
Q2,192,8046046d423b4056,4,5.485200224331298,hormuz strait closure
Q2,182,bddb5ea6752bf5d3,5,5.483866262826104,hormuz strait closure
Q2,184,6e6e778503059683,6,5.483866262826104,hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,7,5.461835561884748,hormuz strait closure
Q2,187,4dcdd20c47e563c2,8,5.427481981809011,hormuz strait closure
Q2,178,d7c7f92810d9f46d,9,5.2592576650675635,hormuz strait closure
Q2,138,2746a9b7afaf565d,10,5.174980186991435,hormuz strait closure
Q2,103,eaf5d63999a60631,11,5.102586752091517,hormuz strait closure
Q2,128,ae487b936842cb13,12,5.102586752091517,hormuz strait closure
Q2,168,deab82b1b7fc6cc2,13,5.05245812021853,hormuz strait closure
Q2,119,5976e9ce43dc47f4,14,5.033033773128779,hormuz strait closure
Q2,136,000e173c6069bdc1,15,5.033033773128779,hormuz strait closure
Q2,110,78cd3862708b2d91,16,5.004642326733722,hormuz strait closure
Q2,141,17a9a848788da71d,17,5.004642326733722,hormuz strait closure
Q2,107,729c4f0b1b9c35e6,18,4.987272475787441,hormuz strait closure
Q2,131,0b731b16cb647ee6,19,4.981070342156041,hormuz strait closure
Q2,133,d5120126774a6fb7,20,4.981070342156041,hormuz strait closure
Q2,162,728dbdea3dbbcd3b,21,4.960385447173583,hormuz strait closure
Q2,165,b8b0ec62e58dba60,22,4.8861529923850675,hormuz strait closure
Q2,186,b4ed6dbb5c28ebc1,23,4.8861529923850675,hormuz strait closure
Q2,198,2247698dd4ee6eb3,24,4.8861529923850675,hormuz strait closure
Q2,101,bee41c435a25013d,25,4.865772543196906,hormuz strait closure
Q2,129,33b1aac311c61ffd,26,4.865772543196906,hormuz strait closure
Q2,144,f0139e88f8e56272,27,4.865772543196906,hormuz strait closure
Q2,112,a201265974ea1c5c,28,4.811361148585893,hormuz strait closure
Q2,146,8a95e221cc9da4ed,29,4.811361148585893,hormuz strait closure
Q3,252,0389df37799c6e00,0,7.06471405787479,revolutionary guard attack
Q3,283,fdc6eecd2b96883f,1,5.893069169968633,revolutionary guard attack
Q3,282,52db22c02154eb52,2,5.839609641006299,revolutionary guard attack
Q3,294,9564052ee29b5c71,3,5.777335825961009,revolutionary guard attack
Q3,275,a017d1e883785088,4,5.740829937145137,revolutionary guard attack
Q3,213,364fed8116cf25bd,5,5.676943678384762,revolutionary guard attack
Q3,281,9c09bf7e82a91af3,6,5.484026988550879,revolutionary guard attack
Q3,277,90678e27b20ef8d7,7,5.471575953199284,revolutionary guard attack
Q3,279,87dfe267e4222735,8,5.471575953199284,revolutionary guard attack
Q3,208,a1e2eed43ff89452,9,5.435424086344556,revolutionary guard attack
Q3,253,ef57fa463888bf7f,10,5.435424086344556,revolutionary guard attack
Q3,210,c7336c4c8f6047b6,11,5.3237501487540175,revolutionary guard attack
Q3,255,71e328aac1665185,12,5.3237501487540175,revolutionary guard attack
Q3,246,16368ac1a6fd1405,13,5.257301179515088,revolutionary guard attack
Q3,207,89d7edcaaaf6fcf5,14,5.240278472556923,revolutionary guard attack
Q3,200,2c66c42738aad600,15,5.187330649618287,revolutionary guard attack
Q3,272,e0c31a44289c172e,16,5.163941272417857,revolutionary guard attack
Q3,289,5f20bbf1bc142d34,17,5.163941272417857,revolutionary guard attack
Q3,219,6ec73f4d43aac707,18,5.115431806247416,revolutionary guard attack
Q3,228,0ffd99102d6201c0,19,5.115431806247416,revolutionary guard attack
Q3,229,6e5ecd8e9d46975f,20,5.115431806247416,revolutionary guard attack
Q3,278,8f5cccd753d772f3,21,5.115431806247416,revolutionary guard attack
Q3,214,7825d86b29b21917,22,5.042691664206535,revolutionary guard attack
Q3,242,31cd9fdb9bd4c0b9,23,5.042691664206535,revolutionary guard attack
Q3,254,92cf12e3986123b0,24,5.042691664206535,revolutionary guard attack
Q3,266,33e1ff89c85b7bd8,25,5.042691664206535,revolutionary guard attack
Q3,249,6dc8c9322fcf4eef,26,5.042404062206381,revolutionary guard attack
Q3,259,d0e5ee78a05302ca,27,5.042404062206381,revolutionary guard attack
Q3,276,580d1704cf659707,28,5.042404062206381,revolutionary guard attack
Q3,215,35b020c81924c843,29,4.982557520646495,revolutionary guard attack
Q4,336,472503ee214acfb0,0,7.621605213271805,iran supreme leader speech
Q4,337,07bab42a95b6fa5b,1,7.483526441507285,iran supreme leader speech
Q4,318,c0a08405db7915f6,2,7.407830915616401,iran supreme leader speech
Q4,321,4eecf27dbfd3df11,3,7.332320853411384,iran supreme leader speech
Q4,305,3dcf23ffa1c095e3,4,7.191916419432855,iran supreme leader speech
Q4,354,723a421ddcfafd71,5,7.123220192955545,iran supreme leader speech
Q4,370,41345e17eaa986ed,6,7.123220192955545,iran supreme leader speech
