qid,docid,docno,rank,score,query
Q1,34,1c0bb2b2fa2121b8,0,3.3750115225305004,iran regime collapse
Q1,1,f5db3a28381e9607,1,3.311386511286167,iran regime collapse
Q1,47,7e783bf5b8b371b4,2,3.2407496755472214,iran regime collapse
Q1,37,f6d3a4ce3c99762a,3,3.1605517041367572,iran regime collapse
Q1,54,272d82c01b434295,4,3.1373918033306474,iran regime collapse
Q1,4,5be6f42915ac8782,5,3.086120439331168,iran regime collapse
Q1,35,59d55172c4c466b8,6,3.086120439331168,iran regime collapse
Q1,63,d9d8fb9ae5fbbd07,7,3.086120439331168,iran regime collapse
Q1,74,81a094715680e74f,8,3.086120439331168,iran regime collapse
Q1,41,8cf97ae2fa9c2f7f,9,3.0440300831083578,iran regime collapse
Q1,2,a5d3b15df7b31ca7,10,3.0165110024116126,iran regime collapse
Q1,7,633240933add1b56,11,3.0165110024116126,iran regime collapse
Q1,11,262794936f5da8da,12,3.0165110024116126,iran regime collapse
Q1,24,b5eb1a9e0cbbe7eb,13,3.0165110024116126,iran regime collapse
Q1,77,a2193c4052838008,14,2.9257637582400076,iran regime collapse
Q1,16,31efc8ca23f3043d,15,2.90298655197579,iran regime collapse
Q1,25,e0a358186114dbb1,16,2.90298655197579,iran regime collapse
Q1,26,a77df25dafc79883,17,2.90298655197579,iran regime collapse
Q1,27,501b8de595d9b635,18,2.90298655197579,iran regime collapse
Q1,28,477f38ee2199b109,19,2.90298655197579,iran regime collapse
Q1,30,a2e3822f022b88ae,20,2.90298655197579,iran regime collapse
Q1,79,f792d44d9695270f,21,2.90298655197579,iran regime collapse
Q1,91,bd51c866aaded72d,22,2.90298655197579,iran regime collapse
Q1,32,f9c61b6f6fdb3545,23,2.9010637838426554,iran regime collapse
Q1,66,eb3c1172fcc3be8f,24,2.8304838621888155,iran regime collapse
Q1,20,786c1d05c1753b54,25,2.782155852674359,iran regime collapse
Q1,13,0c4e00e1be41449e,26,2.7746669842737806,iran regime collapse
Q1,49,782eb9fe28396faa,27,2.750007970929028,iran regime collapse
Q1,81,5954747c881eadca,28,2.7444467823539194,iran regime collapse
Q1,0,3fcdb9735ec81d75,29,2.7237159215801983,iran regime collapse
Q2,110,78cd3862708b2d91,0,4.276091923273211,hormuz strait closure
Q2,141,17a9a848788da71d,1,4.276091923273211,hormuz strait closure
Q2,163,7c499165dc218d09,2,4.057651061712237,hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,3,3.783317182596628,hormuz strait closure
Q2,114,8029077ecba4a6d5,4,3.7479417842459233,hormuz strait closure
Q2,103,eaf5d63999a60631,5,3.6367564222579123,hormuz strait closure
Q2,128,ae487b936842cb13,6,3.6367564222579123,hormuz strait closure
Q2,182,bddb5ea6752bf5d3,7,3.598388844215867,hormuz strait closure
Q2,184,6e6e778503059683,8,3.598388844215867,hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,9,3.5668658591342446,hormuz strait closure
Q2,188,405d58e752110179,10,3.5668658591342446,hormuz strait closure
Q2,192,8046046d423b4056,11,3.5668658591342446,hormuz strait closure
Q2,119,5976e9ce43dc47f4,12,3.5650399246160864,hormuz strait closure
Q2,136,000e173c6069bdc1,13,3.5650399246160864,hormuz strait closure
Q2,187,4dcdd20c47e563c2,14,3.5177633907292556,hormuz strait closure
Q2,162,728dbdea3dbbcd3b,15,3.4966469773479654,hormuz strait closure
Q2,138,2746a9b7afaf565d,16,3.4935595994906277,hormuz strait closure
Q2,178,d7c7f92810d9f46d,17,3.4410426096777575,hormuz strait closure
Q2,165,b8b0ec62e58dba60,18,3.431282128578257,hormuz strait closure
Q2,186,b4ed6dbb5c28ebc1,19,3.431282128578257,hormuz strait closure
Q2,198,2247698dd4ee6eb3,20,3.431282128578257,hormuz strait closure
Q2,168,deab82b1b7fc6cc2,21,3.398261092430296,hormuz strait closure
Q2,131,0b731b16cb647ee6,22,3.3773020237698868,hormuz strait closure
Q2,133,d5120126774a6fb7,23,3.3773020237698868,hormuz strait closure
Q2,112,a201265974ea1c5c,24,3.368693862432287,hormuz strait closure
Q2,121,d8075cc28747e03c,25,3.368693862432287,hormuz strait closure
Q2,146,8a95e221cc9da4ed,26,3.368693862432287,hormuz strait closure
Q2,149,f6026a1873d1ee16,27,3.368693862432287,hormuz strait closure
Q2,152,23dda9968c58278e,28,3.368693862432287,hormuz strait closure
Q2,107,729c4f0b1b9c35e6,29,3.345339224112161,hormuz strait closure
Q3,252,0389df37799c6e00,0,4.859745815283497,revolutionary guard attack
Q3,275,a017d1e883785088,1,4.4813937362226515,revolutionary guard attack
Q3,281,9c09bf7e82a91af3,2,4.314959509703709,revolutionary guard attack
Q3,277,90678e27b20ef8d7,3,4.217632815005346,revolutionary guard attack
Q3,279,87dfe267e4222735,4,4.217632815005346,revolutionary guard attack
Q3,208,a1e2eed43ff89452,5,4.126082807779447,revolutionary guard attack
Q3,253,ef57fa463888bf7f,6,4.126082807779447,revolutionary guard attack
Q3,210,c7336c4c8f6047b6,7,3.9575329279311706,revolutionary guard attack
Q3,255,71e328aac1665185,8,3.9575329279311706,revolutionary guard attack
Q3,282,52db22c02154eb52,9,3.938122072090161,revolutionary guard attack
Q3,283,fdc6eecd2b96883f,10,3.938122072090161,revolutionary guard attack
Q3,294,9564052ee29b5c71,11,3.913139671586283,revolutionary guard attack
Q3,246,16368ac1a6fd1405,12,3.879490747499078,revolutionary guard attack
Q3,213,364fed8116cf25bd,13,3.8505406456988585,revolutionary guard attack
Q3,200,2c66c42738aad600,14,3.8050652679164223,revolutionary guard attack
Q3,219,6ec73f4d43aac707,15,3.733934977267274,revolutionary guard attack
Q3,228,0ffd99102d6201c0,16,3.733934977267274,revolutionary guard attack
Q3,229,6e5ecd8e9d46975f,17,3.733934977267274,revolutionary guard attack
Q3,278,8f5cccd753d772f3,18,3.733934977267274,revolutionary guard attack
Q3,214,7825d86b29b21917,19,3.6658261749678305,revolutionary guard attack
Q3,242,31cd9fdb9bd4c0b9,20,3.6658261749678305,revolutionary guard attack
Q3,254,92cf12e3986123b0,21,3.6658261749678305,revolutionary guard attack
Q3,266,33e1ff89c85b7bd8,22,3.6658261749678305,revolutionary guard attack
Q3,207,89d7edcaaaf6fcf5,23,3.619070457682323,revolutionary guard attack
Q3,237,bbaafe8baeec6f30,24,3.6005028845951017,revolutionary guard attack
Q3,249,6dc8c9322fcf4eef,25,3.5735511438421876,revolutionary guard attack
Q3,272,e0c31a44289c172e,26,3.5735511438421876,revolutionary guard attack
Q3,289,5f20bbf1bc142d34,27,3.5735511438421876,revolutionary guard attack
