qid,docid,docno,rank,score,query
Q1,1,f5db3a28381e9607,0,3.313958228193802,iran regime collapse
Q1,34,1c0bb2b2fa2121b8,1,3.313958228193802,iran regime collapse
Q1,47,7e783bf5b8b371b4,2,3.2426320453422814,iran regime collapse
Q1,37,f6d3a4ce3c99762a,3,3.1625805761509564,iran regime collapse
Q1,54,272d82c01b434295,4,3.140184257094523,iran regime collapse
Q1,4,5be6f42915ac8782,5,3.0882816313868986,iran regime collapse
Q1,35,59d55172c4c466b8,6,3.0882816313868986,iran regime collapse
Q1,63,d9d8fb9ae5fbbd07,7,3.0882816313868986,iran regime collapse
Q1,74,81a094715680e74f,8,3.0882816313868986,iran regime collapse
Q1,41,8cf97ae2fa9c2f7f,9,3.0465614583254625,iran regime collapse
Q1,2,a5d3b15df7b31ca7,10,3.018792128192926,iran regime collapse
Q1,7,633240933add1b56,11,3.018792128192926,iran regime collapse
Q1,11,262794936f5da8da,12,3.018792128192926,iran regime collapse
Q1,24,b5eb1a9e0cbbe7eb,13,3.018792128192926,iran regime collapse
Q1,77,a2193c4052838008,14,2.9285042512182065,iran regime collapse
Q1,91,bd51c866aaded72d,15,2.905693990857986,iran regime collapse
Q1,32,f9c61b6f6fdb3545,16,2.903864631912776,iran regime collapse
Q1,16,31efc8ca23f3043d,17,2.8641112302855936,iran regime collapse
Q1,25,e0a358186114dbb1,18,2.8641112302855936,iran regime collapse
Q1,26,a77df25dafc79883,19,2.8641112302855936,iran regime collapse
Q1,27,501b8de595d9b635,20,2.8641112302855936,iran regime collapse
Q1,28,477f38ee2199b109,21,2.8641112302855936,iran regime collapse
Q1,30,a2e3822f022b88ae,22,2.8641112302855936,iran regime collapse
Q1,79,f792d44d9695270f,23,2.8641112302855936,iran regime collapse
Q1,66,eb3c1172fcc3be8f,24,2.8330634906528256,iran regime collapse
Q1,20,786c1d05c1753b54,25,2.785035864092497,iran regime collapse
Q1,13,0c4e00e1be41449e,26,2.7773289952318763,iran regime collapse
Q1,49,782eb9fe28396faa,27,2.7529533725337227,iran regime collapse
Q1,81,5954747c881eadca,28,2.7473766957480876,iran regime collapse
Q1,0,3fcdb9735ec81d75,29,2.7264825590111235,iran regime collapse
Q2,110,78cd3862708b2d91,0,4.278300981062507,hormuz strait closure
Q2,141,17a9a848788da71d,1,4.278300981062507,hormuz strait closure
Q2,163,7c499165dc218d09,2,4.060484388674547,hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,3,3.786613634902168,hormuz strait closure
Q2,114,8029077ecba4a6d5,4,3.751545875852904,hormuz strait closure
Q2,103,eaf5d63999a60631,5,3.6400708663036285,hormuz strait closure
Q2,128,ae487b936842cb13,6,3.6400708663036285,hormuz strait closure
Q2,182,bddb5ea6752bf5d3,7,3.602274280538017,hormuz strait closure
Q2,184,6e6e778503059683,8,3.602274280538017,hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,9,3.570724676274562,hormuz strait closure
Q2,188,405d58e752110179,10,3.570724676274562,hormuz strait closure
Q2,192,8046046d423b4056,11,3.570724676274562,hormuz strait closure
Q2,119,5976e9ce43dc47f4,12,3.5684602180780285,hormuz strait closure
Q2,136,000e173c6069bdc1,13,3.5684602180780285,hormuz strait closure
Q2,187,4dcdd20c47e563c2,14,3.5615049920994863,hormuz strait closure
