qid,docid,docno,rank,score,query
Q1,1,f5db3a28381e9607,0,3.3321307605618786,Iran regime collapse
Q1,34,1c0bb2b2fa2121b8,1,3.3321307605618786,Iran regime collapse
Q1,37,f6d3a4ce3c99762a,2,3.1769260111926325,Iran regime collapse
Q1,47,7e783bf5b8b371b4,3,3.1769260111926325,Iran regime collapse
Q1,54,272d82c01b434295,4,3.1599318530742773,Iran regime collapse
Q1,4,5be6f42915ac8782,5,3.103565842934295,Iran regime collapse
Q1,35,59d55172c4c466b8,6,3.103565842934295,Iran regime collapse
Q1,63,d9d8fb9ae5fbbd07,7,3.103565842934295,Iran regime collapse
Q1,74,81a094715680e74f,8,3.103565842934295,Iran regime collapse
Q1,41,8cf97ae2fa9c2f7f,9,3.0644696068188297,Iran regime collapse
Q1,2,a5d3b15df7b31ca7,10,3.0349282049559596,Iran regime collapse
Q1,7,633240933add1b56,11,3.0349282049559596,Iran regime collapse
Q1,11,262794936f5da8da,12,3.0349282049559596,Iran regime collapse
Q1,24,b5eb1a9e0cbbe7eb,13,3.0349282049559596,Iran regime collapse
Q1,91,bd51c866aaded72d,14,2.924860070429921,Iran regime collapse
Q1,32,f9c61b6f6fdb3545,15,2.923700394865996,Iran regime collapse
Q1,77,a2193c4052838008,16,2.893763514013489,Iran regime collapse
Q1,16,31efc8ca23f3043d,17,2.8837175814291225,Iran regime collapse
Q1,25,e0a358186114dbb1,18,2.8837175814291225,Iran regime collapse
Q1,26,a77df25dafc79883,19,2.8837175814291225,Iran regime collapse
Q1,27,501b8de595d9b635,20,2.8837175814291225,Iran regime collapse
Q1,28,477f38ee2199b109,21,2.8837175814291225,Iran regime collapse
Q1,30,a2e3822f022b88ae,22,2.8837175814291225,Iran regime collapse
Q1,79,f792d44d9695270f,23,2.8837175814291225,Iran regime collapse
Q1,66,eb3c1172fcc3be8f,24,2.8513247204364394,Iran regime collapse
Q1,20,786c1d05c1753b54,25,2.805436461662477,Iran regime collapse
Q1,49,782eb9fe28396faa,26,2.77382968310991,Iran regime collapse
Q1,81,5954747c881eadca,27,2.7681350628160972,Iran regime collapse
Q1,0,3fcdb9735ec81d75,28,2.746079228194615,Iran regime collapse
Q1,42,6761da0022fcff68,29,2.746079228194615,Iran regime collapse
Q2,110,78cd3862708b2d91,0,4.29391547341508,Hormuz strait closure
Q2,141,17a9a848788da71d,1,4.29391547341508,Hormuz strait closure
Q2,163,7c499165dc218d09,2,4.080518618187976,Hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,3,3.809942918441381,Hormuz strait closure
Q2,114,8029077ecba4a6d5,4,3.777059793798157,Hormuz strait closure
Q2,103,eaf5d63999a60631,5,3.6635338669520503,Hormuz strait closure
Q2,128,ae487b936842cb13,6,3.6635338669520503,Hormuz strait closure
Q2,182,bddb5ea6752bf5d3,7,3.629798441563505,Hormuz strait closure
Q2,184,6e6e778503059683,8,3.629798441563505,Hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,9,3.598062868572756,Hormuz strait closure
Q2,119,5976e9ce43dc47f4,10,3.592678781730525,Hormuz strait closure
Q2,136,000e173c6069bdc1,11,3.592678781730525,Hormuz strait closure
Q2,187,4dcdd20c47e563c2,12,3.5894133049125614,Hormuz strait closure
Q2,188,405d58e752110179,13,3.5563028378692474,Hormuz strait closure
Q2,192,8046046d423b4056,14,3.5563028378692474,Hormuz strait closure
Q2,162,728dbdea3dbbcd3b,15,3.5250724082123632,Hormuz strait closure
Q2,138,2746a9b7afaf565d,16,3.52354925222833,Hormuz strait closure
Q2,178,d7c7f92810d9f46d,17,3.4740569534005785,Hormuz strait closure
Q2,165,b8b0ec62e58dba60,18,3.460425859616417,Hormuz strait closure
Q2,198,2247698dd4ee6eb3,19,3.460425859616417,Hormuz strait closure
Q2,131,0b731b16cb647ee6,20,3.408891905818964,Hormuz strait closure
Q2,133,d5120126774a6fb7,21,3.408891905818964,Hormuz strait closure
Q2,112,a201265974ea1c5c,22,3.3984934330805467,Hormuz strait closure
