qid,docid,docno,rank,score,query
Q1,34,1c0bb2b2fa2121b8,0,4.882439982807838,iran regime collapse
Q1,1,f5db3a28381e9607,1,4.704110950565735,iran regime collapse
Q1,47,7e783bf5b8b371b4,2,4.522581108515434,iran regime collapse
Q1,54,272d82c01b434295,3,4.384302496716026,iran regime collapse
Q1,37,f6d3a4ce3c99762a,4,4.321421043341927,iran regime collapse
Q1,41,8cf97ae2fa9c2f7f,5,4.209010006062312,iran regime collapse
Q1,77,a2193c4052838008,6,4.201663689857897,iran regime collapse
Q1,4,5be6f42915ac8782,7,4.147032737931383,iran regime collapse
Q1,35,59d55172c4c466b8,8,4.147032737931383,iran regime collapse
Q1,63,d9d8fb9ae5fbbd07,9,4.147032737931383,iran regime collapse
Q1,74,81a094715680e74f,10,4.147032737931383,iran regime collapse
Q1,2,a5d3b15df7b31ca7,11,3.9936745752979124,iran regime collapse
Q1,7,633240933add1b56,12,3.9936745752979124,iran regime collapse
Q1,11,262794936f5da8da,13,3.9936745752979124,iran regime collapse
Q1,24,b5eb1a9e0cbbe7eb,14,3.9936745752979124,iran regime collapse
Q1,32,f9c61b6f6fdb3545,15,3.940013682237473,iran regime collapse
Q1,58,c3398d6be2b63fab,16,3.835986618693888,iran regime collapse
Q1,16,31efc8ca23f3043d,17,3.8252516652471806,iran regime collapse
Q1,25,e0a358186114dbb1,18,3.8252516652471806,iran regime collapse
Q1,26,a77df25dafc79883,19,3.8252516652471806,iran regime collapse
Q1,27,501b8de595d9b635,20,3.8252516652471806,iran regime collapse
Q1,28,477f38ee2199b109,21,3.8252516652471806,iran regime collapse
Q1,30,a2e3822f022b88ae,22,3.8252516652471806,iran regime collapse
Q1,79,f792d44d9695270f,23,3.8252516652471806,iran regime collapse
Q1,91,bd51c866aaded72d,24,3.8252516652471806,iran regime collapse
Q1,49,782eb9fe28396faa,25,3.6718595642883094,iran regime collapse
Q1,66,eb3c1172fcc3be8f,26,3.6241848651546067,iran regime collapse
Q1,20,786c1d05c1753b54,27,3.604550182101085,iran regime collapse
Q1,0,3fcdb9735ec81d75,28,3.5563217837057515,iran regime collapse
Q1,42,6761da0022fcff68,29,3.5563217837057515,iran regime collapse
Q2,110,78cd3862708b2d91,0,5.730187105828868,hormuz strait closure
Q2,141,17a9a848788da71d,1,5.730187105828868,hormuz strait closure
Q2,163,7c499165dc218d09,2,5.317400256119842,hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,3,4.6940808380831704,hormuz strait closure
Q2,114,8029077ecba4a6d5,4,4.628231864997581,hormuz strait closure
Q2,182,bddb5ea6752bf5d3,5,4.291834510363142,hormuz strait closure
Q2,184,6e6e778503059683,6,4.291834510363142,hormuz strait closure
Q2,103,eaf5d63999a60631,7,4.2861725684202945,hormuz strait closure
Q2,128,ae487b936842cb13,8,4.2861725684202945,hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,9,4.258528099403084,hormuz strait closure
Q2,188,405d58e752110179,10,4.258528099403084,hormuz strait closure
Q2,192,8046046d423b4056,11,4.258528099403084,hormuz strait closure
Q2,119,5976e9ce43dc47f4,12,4.150747165978545,hormuz strait closure
Q2,136,000e173c6069bdc1,13,4.150747165978545,hormuz strait closure
Q2,187,4dcdd20c47e563c2,14,4.138858767257506,hormuz strait closure
Q2,138,2746a9b7afaf565d,15,4.120230665769203,hormuz strait closure
Q2,162,728dbdea3dbbcd3b,16,4.0254692760200985,hormuz strait closure
Q2,178,d7c7f92810d9f46d,17,3.9979235886242224,hormuz strait closure
Q2,168,deab82b1b7fc6cc2,18,3.941520067110756,hormuz strait closure
Q2,165,b8b0ec62e58dba60,19,3.9090598842611985,hormuz strait closure
Q2,186,b4ed6dbb5c28ebc1,20,3.9090598842611985,hormuz strait closure
Q2,198,2247698dd4ee6eb3,21,3.9090598842611985,hormuz strait closure
Q2,131,0b731b16cb647ee6,22,3.8893260410647956,hormuz strait closure
Q2,133,d5120126774a6fb7,23,3.8893260410647956,hormuz strait closure
Q2,107,729c4f0b1b9c35e6,24,3.850202164271674,hormuz strait closure
Q2,112,a201265974ea1c5c,25,3.8004649811531817,hormuz strait closure
Q2,121,d8075cc28747e03c,26,3.8004649811531817,hormuz strait closure
Q2,146,8a95e221cc9da4ed,27,3.8004649811531817,hormuz strait closure
Q2,149,f6026a1873d1ee16,28,3.8004649811531817,hormuz strait closure
Q2,152,23dda9968c58278e,29,3.8004649811531817,hormuz strait closure
Q3,252,0389df37799c6e00,0,6.661292501327976,revolutionary guard attack
Q3,275,a017d1e883785088,1,5.806276521605552,revolutionary guard attack
Q3,281,9c09bf7e82a91af3,2,5.279466833562508,revolutionary guard attack
Q3,277,90678e27b20ef8d7,3,5.07264578264229,revolutionary guard attack
Q3,279,87dfe267e4222735,4,5.07264578264229,revolutionary guard attack
Q3,208,a1e2eed43ff89452,5,4.885967736681357,revolutionary guard attack
Q3,253,ef57fa463888bf7f,6,4.885967736681357,revolutionary guard attack
Q3,282,52db22c02154eb52,7,4.603518706184423,revolutionary guard attack
Q3,283,fdc6eecd2b96883f,8,4.603518706184423,revolutionary guard attack
Q3,294,9564052ee29b5c71,9,4.563231951324539,revolutionary guard attack
Q3,210,c7336c4c8f6047b6,10,4.560279637116694,revolutionary guard attack
Q3,255,71e328aac1665185,11,4.560279637116694,revolutionary guard attack
Q3,213,364fed8116cf25bd,12,4.441623775986761,revolutionary guard attack
Q3,246,16368ac1a6fd1405,13,4.416660787282595,revolutionary guard attack
Q3,200,2c66c42738aad600,14,4.2835691580329796,revolutionary guard attack
Q3,207,89d7edcaaaf6fcf5,15,4.166738706095838,revolutionary guard attack
Q3,219,6ec73f4d43aac707,16,4.159691980376639,revolutionary guard attack
Q3,228,0ffd99102d6201c0,17,4.159691980376639,revolutionary guard attack
Q3,229,6e5ecd8e9d46975f,18,4.159691980376639,revolutionary guard attack
Q3,278,8f5cccd753d772f3,19,4.159691980376639,revolutionary guard attack
Q3,214,7825d86b29b21917,20,4.043946509646002,revolutionary guard attack
Q3,242,31cd9fdb9bd4c0b9,21,4.043946509646002,revolutionary guard attack
Q3,254,92cf12e3986123b0,22,4.043946509646002,revolutionary guard attack
Q3,266,33e1ff89c85b7bd8,23,4.043946509646002,revolutionary guard attack
Q3,249,6dc8c9322fcf4eef,24,3.969537672492753,revolutionary guard attack
Q3,272,e0c31a44289c172e,25,3.969537672492753,revolutionary guard attack
Q3,289,5f20bbf1bc142d34,26,3.969537672492753,revolutionary guard attack
Q3,237,bbaafe8baeec6f30,27,3.935428336196229,revolutionary guard attack
Q3,264,e2781067302db0e1,28,3.833373678179938,revolutionary guard attack
Q3,269,4d0736098bd6835b,29,3.833373678179938,revolutionary guard attack
Q4,336,472503ee214acfb0,0,6.818601976332611,iran supreme leader speech
Q4,354,723a421ddcfafd71,1,6.530497350222884,iran supreme leader speech
Q4,302,20656514792ad42b,2,6.320937606083237,iran supreme leader speech
Q4,342,f26bdb20c51eb086,3,6.320937606083237,iran supreme leader speech
Q4,345,42ccc2e73a3829a9,4,6.320937606083237,iran supreme leader speech
Q4,359,d030f2fa54e4c6e8,5,6.320937606083237,iran supreme leader speech
Q4,370,41345e17eaa986ed,6,6.320937606083237,iran supreme leader speech
Q4,305,3dcf23ffa1c095e3,7,6.108619520624261,iran supreme leader speech
Q4,337,07bab42a95b6fa5b,8,5.980148709670474,iran supreme leader speech
Q4,358,42fcd1c67a7be715,9,5.913384104364195,iran supreme leader speech
Q4,318,c0a08405db7915f6,10,5.879476429937069,iran supreme leader speech
Q4,321,4eecf27dbfd3df11,11,5.879476429937069,iran supreme leader speech
Q4,310,58f57040b8eb6e77,12,5.821817935044273,iran supreme leader speech
Q4,320,c881810f117984c8,13,5.821817935044273,iran supreme leader speech
Q4,306,1803b125fd3e0cb7,14,5.404090184483098,iran supreme leader speech
Q4,343,103ead27b66d5282,15,5.404090184483098,iran supreme leader speech
Q4,353,1ad3e76d9cea351f,16,5.404090184483098,iran supreme leader speech
Q4,334,5ae8f6b9d5919006,17,5.1498848921588465,iran supreme leader speech
Q4,301,1f679fe6e0b1a540,18,5.0163614266646235,iran supreme leader speech
Q4,304,e71e2d5c83d49d07,19,4.922578300193962,iran supreme leader speech
Q4,313,81337f59f73228d8,20,4.89507584037819,iran supreme leader speech
Q4,312,f85ba86a19b19d61,21,4.887429841999486,iran supreme leader speech
Q4,308,8e42d40aeb58e796,22,4.817580478710985,iran supreme leader speech
Q4,355,a85475dccd3168e2,23,4.8138648451045,iran supreme leader speech
Q4,360,660b812458ff0696,24,4.8138648451045,iran supreme leader speech
Q4,369,2bdbf912e2f13863,25,4.8138648451045,iran supreme leader speech
Q4,335,09dfc10e9effcea3,26,4.78213404927389,iran supreme leader speech
Q4,300,cab94409f1e3bf21,27,4.7202525240322295,iran supreme leader speech
Q4,309,17ee76fd41e23106,28,4.7202525240322295,iran supreme leader speech
Q4,311,ed13e766b6157a94,29,4.717723467413616,iran supreme leader speech
Q5,451,2013fa72ff2e73eb,0,4.8527808976668005,u base iran missile
Q5,425,4902f77fa45d387b,1,4.489626784931692,u base iran missile
Q5,404,0ecec4813e87c79c,2,4.38277042670994,u base iran missile
Q5,401,f60eaf8f2905a3ba,3,4.374579605281837,u base iran missile
Q5,479,3184e5c81baacc39,4,4.297993242746235,u base iran missile
Q5,482,2f2afbe16e4844e1,5,4.028324056791574,u base iran missile
Q5,498,e9ce4bc343b965de,6,3.871340507010912,u base iran missile
Q5,458,7fcf41d3f67e813f,7,3.8200087253414967,u base iran missile
Q5,408,72f7bda6d7c0577b,8,3.7874921237208667,u base iran missile
Q5,464,32ef9fc44b355ff8,9,3.701887386997461,u base iran missile
Q5,415,fc5046f227b22198,10,3.647838830915186,u base iran missile
Q5,410,311ebdf01bd4e453,11,3.6317075238222216,u base iran missile
Q5,418,3c6ce7a262f00c04,12,3.6018974079927784,u base iran missile
Q5,417,806fb19d368b87f2,13,3.572362593440535,u base iran missile
Q5,435,74ee4852a33051c8,14,3.572362593440535,u base iran missile
Q5,485,547c7de0261a8ee3,15,3.541272401131248,u base iran missile
Q5,446,a794b0ffbb93bb50,16,3.4785956382842267,u base iran missile
Q5,473,0e44d2f10d02faf1,17,3.4785956382842267,u base iran missile
Q5,487,4a4c0a5ded0f33ae,18,3.4785956382842267,u base iran missile
Q5,459,3a40a7b03f17b87a,19,3.395828423534658,u base iran missile
Q5,405,404b45ee58bae470,20,3.375079317686982,u base iran missile
Q5,443,91398f315897b210,21,3.375079317686982,u base iran missile
Q5,444,066080f2bf2b7ca0,22,3.3604240860754695,u base iran missile
Q5,460,f2b97510c4196c2a,23,3.3057414281664648,u base iran missile
Q5,419,9e55bc1dbd4a95f6,24,3.256699623883672,u base iran missile
Q5,422,623c1784b9de231c,25,3.253526960134768,u base iran missile
Q5,442,80b8a0cf461dc985,26,3.1775554549567175,u base iran missile
Q5,431,33a0766831db049d,27,3.168925073137343,u base iran missile
Q5,436,037b46251b344099,28,3.168925073137343,u base iran missile
Q5,483,a4952bcbeb3585e3,29,3.168925073137343,u base iran missile
