qid,docid,docno,rank,score,query
Q1,77,a2193c4052838008,0,4.794283566930542,iran regime collapse
Q1,35,59d55172c4c466b8,1,4.761742893930284,iran regime collapse
Q1,47,7e783bf5b8b371b4,2,4.499797893608836,iran regime collapse
Q1,41,8cf97ae2fa9c2f7f,3,4.397646394879768,iran regime collapse
Q1,1,f5db3a28381e9607,4,4.304094727127574,iran regime collapse
Q1,11,262794936f5da8da,5,4.280477284961116,iran regime collapse
Q1,7,633240933add1b56,6,4.183156812855844,iran regime collapse
Q1,54,272d82c01b434295,7,4.1705290339204755,iran regime collapse
Q1,74,81a094715680e74f,8,3.929205625803035,iran regime collapse
Q1,34,1c0bb2b2fa2121b8,9,3.8656880253730037,iran regime collapse
Q1,0,3fcdb9735ec81d75,10,3.856600247988263,iran regime collapse
Q1,42,6761da0022fcff68,11,3.856600247988263,iran regime collapse
Q1,46,d070237f96c6ad72,12,3.856600247988263,iran regime collapse
Q1,58,c3398d6be2b63fab,13,3.855468624526559,iran regime collapse
Q1,2,a5d3b15df7b31ca7,14,3.8549664225521596,iran regime collapse
Q1,4,5be6f42915ac8782,15,3.8549664225521596,iran regime collapse
Q1,82,87b36d126cd9c4d4,16,3.7583828000568777,iran regime collapse
Q1,24,b5eb1a9e0cbbe7eb,17,3.7190712105497585,iran regime collapse
Q1,37,f6d3a4ce3c99762a,18,3.7190712105497585,iran regime collapse
Q1,66,eb3c1172fcc3be8f,19,3.7190712105497585,iran regime collapse
Q1,16,31efc8ca23f3043d,20,3.6756436026689085,iran regime collapse
Q1,25,e0a358186114dbb1,21,3.6756436026689085,iran regime collapse
Q1,26,a77df25dafc79883,22,3.6756436026689085,iran regime collapse
Q1,27,501b8de595d9b635,23,3.6756436026689085,iran regime collapse
Q1,28,477f38ee2199b109,24,3.6756436026689085,iran regime collapse
Q1,30,a2e3822f022b88ae,25,3.6756436026689085,iran regime collapse
Q1,79,f792d44d9695270f,26,3.6756436026689085,iran regime collapse
Q1,81,5954747c881eadca,27,3.6756436026689085,iran regime collapse
Q1,51,3298331cea9ae67e,28,3.6624966139256574,iran regime collapse
Q1,65,5cf68c9137cb7074,29,3.6624966139256574,iran regime collapse
Q2,110,78cd3862708b2d91,0,5.697305720182095,hormuz strait closure
Q2,141,17a9a848788da71d,1,5.697305720182095,hormuz strait closure
Q2,163,7c499165dc218d09,2,4.746130061527129,hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,3,4.670080525878349,hormuz strait closure
Q2,128,ae487b936842cb13,4,4.655290719164189,hormuz strait closure
Q2,182,bddb5ea6752bf5d3,5,4.589189886869902,hormuz strait closure
Q2,184,6e6e778503059683,6,4.589189886869902,hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,7,4.585749303908337,hormuz strait closure
Q2,119,5976e9ce43dc47f4,8,4.467776084708805,hormuz strait closure
Q2,178,d7c7f92810d9f46d,9,4.4363721873583515,hormuz strait closure
Q2,136,000e173c6069bdc1,10,4.381087276906567,hormuz strait closure
Q2,138,2746a9b7afaf565d,11,4.324743184659262,hormuz strait closure
Q2,187,4dcdd20c47e563c2,12,4.295074212223047,hormuz strait closure
Q2,192,8046046d423b4056,13,4.2732800764686,hormuz strait closure
Q2,114,8029077ecba4a6d5,14,4.225906282356222,hormuz strait closure
Q2,162,728dbdea3dbbcd3b,15,4.219848599319954,hormuz strait closure
Q2,146,8a95e221cc9da4ed,16,4.14464575566058,hormuz strait closure
Q2,188,405d58e752110179,17,4.090727204802598,hormuz strait closure
Q2,186,b4ed6dbb5c28ebc1,18,4.003716035571837,hormuz strait closure
Q2,107,729c4f0b1b9c35e6,19,3.887581316602709,hormuz strait closure
Q2,157,d0c303845524684f,20,3.87394228131162,hormuz strait closure
Q2,168,deab82b1b7fc6cc2,21,3.754705986586235,hormuz strait closure
Q2,174,e5a2a656c428d005,22,3.753852260157795,hormuz strait closure
Q2,198,2247698dd4ee6eb3,23,3.753852260157795,hormuz strait closure
Q2,103,eaf5d63999a60631,24,3.697053817865381,hormuz strait closure
Q2,149,f6026a1873d1ee16,25,3.697053817865381,hormuz strait closure
Q2,166,e9b822e941614697,26,3.697053817865381,hormuz strait closure
Q2,197,703d3ec7e11b24e6,27,3.697053817865381,hormuz strait closure
Q2,129,33b1aac311c61ffd,28,3.668207090064631,hormuz strait closure
Q2,132,210170889b689b87,29,3.668207090064631,hormuz strait closure
Q3,252,0389df37799c6e00,0,5.771599299104777,revolutionary guard attack
Q3,275,a017d1e883785088,1,5.757099606295858,revolutionary guard attack
Q3,253,ef57fa463888bf7f,2,5.413897921926164,revolutionary guard attack
Q3,281,9c09bf7e82a91af3,3,5.295635223735638,revolutionary guard attack
Q3,208,a1e2eed43ff89452,4,5.183894168431772,revolutionary guard attack
Q3,277,90678e27b20ef8d7,5,5.07802476300072,revolutionary guard attack
Q3,279,87dfe267e4222735,6,5.07802476300072,revolutionary guard attack
Q3,255,71e328aac1665185,7,4.881758254087743,revolutionary guard attack
Q3,278,8f5cccd753d772f3,8,4.881758254087743,revolutionary guard attack
Q3,213,364fed8116cf25bd,9,4.814987546427924,revolutionary guard attack
Q3,210,c7336c4c8f6047b6,10,4.790468104185008,revolutionary guard attack
Q3,219,6ec73f4d43aac707,11,4.790468104185008,revolutionary guard attack
Q3,215,35b020c81924c843,12,4.760450867673816,revolutionary guard attack
Q3,207,89d7edcaaaf6fcf5,13,4.709282004937039,revolutionary guard attack
Q3,200,2c66c42738aad600,14,4.539720309062467,revolutionary guard attack
Q3,243,987ff2313d03e337,15,4.539720309062467,revolutionary guard attack
Q3,294,9564052ee29b5c71,16,4.49219737424897,revolutionary guard attack
Q3,228,0ffd99102d6201c0,17,4.462896629161505,revolutionary guard attack
Q3,229,6e5ecd8e9d46975f,18,4.462896629161505,revolutionary guard attack
Q3,237,bbaafe8baeec6f30,19,4.3179902812720705,revolutionary guard attack
Q3,254,92cf12e3986123b0,20,4.3179902812720705,revolutionary guard attack
Q3,266,33e1ff89c85b7bd8,21,4.3179902812720705,revolutionary guard attack
Q3,268,5f8ae337e78a72a7,22,4.3179902812720705,revolutionary guard attack
Q3,272,e0c31a44289c172e,23,4.2900465322943475,revolutionary guard attack
Q3,289,5f20bbf1bc142d34,24,4.238395753769539,revolutionary guard attack
Q3,246,16368ac1a6fd1405,25,4.119730184151263,revolutionary guard attack
Q3,214,7825d86b29b21917,26,4.058118210201963,revolutionary guard attack
Q3,293,3ecceca45e506d43,27,4.058118210201963,revolutionary guard attack
