qid,docid,docno,rank,score,query
Q1,1,f5db3a28381e9607,0,4.761054651506206,Iran regime collapse
Q1,34,1c0bb2b2fa2121b8,1,4.761054651506206,Iran regime collapse
Q1,54,272d82c01b434295,2,4.443083540234767,Iran regime collapse
Q1,37,f6d3a4ce3c99762a,3,4.3613302872829856,Iran regime collapse
Q1,47,7e783bf5b8b371b4,4,4.3613302872829856,Iran regime collapse
Q1,41,8cf97ae2fa9c2f7f,5,4.259981957224724,Iran regime collapse
Q1,4,5be6f42915ac8782,6,4.186905566060817,Iran regime collapse
Q1,35,59d55172c4c466b8,7,4.186905566060817,Iran regime collapse
Q1,63,d9d8fb9ae5fbbd07,8,4.186905566060817,Iran regime collapse
Q1,74,81a094715680e74f,9,4.186905566060817,Iran regime collapse
Q1,77,a2193c4052838008,10,4.140476700004147,Iran regime collapse
Q1,2,a5d3b15df7b31ca7,11,4.033382271365797,Iran regime collapse
Q1,7,633240933add1b56,12,4.033382271365797,Iran regime collapse
Q1,11,262794936f5da8da,13,4.033382271365797,Iran regime collapse
Q1,24,b5eb1a9e0cbbe7eb,14,4.033382271365797,Iran regime collapse
Q1,32,f9c61b6f6fdb3545,15,3.990978044556898,Iran regime collapse
Q1,91,bd51c866aaded72d,16,3.8674073717711073,Iran regime collapse
Q1,58,c3398d6be2b63fab,17,3.7900958917486887,Iran regime collapse
Q1,16,31efc8ca23f3043d,18,3.788699133971215,Iran regime collapse
Q1,25,e0a358186114dbb1,19,3.788699133971215,Iran regime collapse
Q1,26,a77df25dafc79883,20,3.788699133971215,Iran regime collapse
Q1,27,501b8de595d9b635,21,3.788699133971215,Iran regime collapse
Q1,28,477f38ee2199b109,22,3.788699133971215,Iran regime collapse
Q1,30,a2e3822f022b88ae,23,3.788699133971215,Iran regime collapse
Q1,79,f792d44d9695270f,24,3.788699133971215,Iran regime collapse
Q1,49,782eb9fe28396faa,25,3.7140626877958978,Iran regime collapse
Q1,66,eb3c1172fcc3be8f,26,3.6629227065674,Iran regime collapse
Q1,20,786c1d05c1753b54,27,3.6455491573257155,Iran regime collapse
Q1,0,3fcdb9735ec81d75,28,3.601848640194202,Iran regime collapse
Q1,42,6761da0022fcff68,29,3.601848640194202,Iran regime collapse
Q2,110,78cd3862708b2d91,0,5.778191444544181,Hormuz strait closure
Q2,141,17a9a848788da71d,1,5.778191444544181,Hormuz strait closure
Q2,163,7c499165dc218d09,2,5.373394036790669,Hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,3,4.75099089296585,Hormuz strait closure
Q2,114,8029077ecba4a6d5,4,4.690551781359536,Hormuz strait closure
Q2,182,bddb5ea6752bf5d3,5,4.352859192581662,Hormuz strait closure
Q2,184,6e6e778503059683,6,4.352859192581662,Hormuz strait closure
Q2,103,eaf5d63999a60631,7,4.337857777078205,Hormuz strait closure
Q2,128,ae487b936842cb13,8,4.337857777078205,Hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,9,4.320143431709915,Hormuz strait closure
Q2,187,4dcdd20c47e563c2,10,4.2745466570660575,Hormuz strait closure
Q2,188,405d58e752110179,11,4.2378512200143135,Hormuz strait closure
Q2,192,8046046d423b4056,12,4.2378512200143135,Hormuz strait closure
Q2,119,5976e9ce43dc47f4,13,4.202432374954289,Hormuz strait closure
