qid,docid,docno,rank,score,query
Q1,34,1c0bb2b2fa2121b8,0,4.9839899585651635,iran regime collapse
Q1,1,f5db3a28381e9607,1,4.872354303415544,iran regime collapse
Q1,47,7e783bf5b8b371b4,2,4.762770602562511,iran regime collapse
Q1,54,272d82c01b434295,3,4.6907569153614705,iran regime collapse
Q1,37,f6d3a4ce3c99762a,4,4.643597391975881,iran regime collapse
Q1,41,8cf97ae2fa9c2f7f,5,4.563351167023573,iran regime collapse
Q1,4,5be6f42915ac8782,6,4.530242459790274,iran regime collapse
Q1,35,59d55172c4c466b8,7,4.530242459790274,iran regime collapse
Q1,63,d9d8fb9ae5fbbd07,8,4.530242459790274,iran regime collapse
Q1,74,81a094715680e74f,9,4.530242459790274,iran regime collapse
Q1,2,a5d3b15df7b31ca7,10,4.422289869177668,iran regime collapse
Q1,7,633240933add1b56,11,4.422289869177668,iran regime collapse
Q1,11,262794936f5da8da,12,4.422289869177668,iran regime collapse
Q1,24,b5eb1a9e0cbbe7eb,13,4.422289869177668,iran regime collapse
Q1,32,f9c61b6f6fdb3545,14,4.296693353183134,iran regime collapse
Q1,16,31efc8ca23f3043d,15,4.18560934912179,iran regime collapse
Q1,25,e0a358186114dbb1,16,4.18560934912179,iran regime collapse
Q1,26,a77df25dafc79883,17,4.18560934912179,iran regime collapse
Q1,27,501b8de595d9b635,18,4.18560934912179,iran regime collapse
Q1,28,477f38ee2199b109,19,4.18560934912179,iran regime collapse
Q1,30,a2e3822f022b88ae,20,4.18560934912179,iran regime collapse
Q1,79,f792d44d9695270f,21,4.18560934912179,iran regime collapse
Q1,91,bd51c866aaded72d,22,4.18560934912179,iran regime collapse
Q1,58,c3398d6be2b63fab,23,4.135152997961805,iran regime collapse
Q1,77,a2193c4052838008,24,4.129635810735788,iran regime collapse
Q1,66,eb3c1172fcc3be8f,25,4.127241791241201,iran regime collapse
Q1,0,3fcdb9735ec81d75,26,4.099920601256006,iran regime collapse
Q1,42,6761da0022fcff68,27,4.099920601256006,iran regime collapse
Q1,46,d070237f96c6ad72,28,4.099920601256006,iran regime collapse
Q1,13,0c4e00e1be41449e,29,4.0374510414426314,iran regime collapse
