qid,docid,docno,rank,score,query
Q1,35,59d55172c4c466b8,0,4.8840326295575895,iran regime collapse
Q1,47,7e783bf5b8b371b4,1,4.742697700340275,iran regime collapse
Q1,41,8cf97ae2fa9c2f7f,2,4.675850166123753,iran regime collapse
Q1,11,262794936f5da8da,3,4.609312662144159,iran regime collapse
Q1,77,a2193c4052838008,4,4.598486730312056,iran regime collapse
Q1,1,f5db3a28381e9607,5,4.584032540325392,iran regime collapse
Q1,7,633240933add1b56,6,4.545394647858999,iran regime collapse
Q1,54,272d82c01b434295,7,4.535806338229908,iran regime collapse
Q1,74,81a094715680e74f,8,4.363852117072461,iran regime collapse
Q1,0,3fcdb9735ec81d75,9,4.3156617154008625,iran regime collapse
Q1,42,6761da0022fcff68,10,4.3156617154008625,iran regime collapse
Q1,46,d070237f96c6ad72,11,4.3156617154008625,iran regime collapse
Q1,2,a5d3b15df7b31ca7,12,4.306518172969473,iran regime collapse
Q1,4,5be6f42915ac8782,13,4.306518172969473,iran regime collapse
Q1,34,1c0bb2b2fa2121b8,14,4.228264226356341,iran regime collapse
Q1,24,b5eb1a9e0cbbe7eb,15,4.196254214377562,iran regime collapse
Q1,37,f6d3a4ce3c99762a,16,4.196254214377562,iran regime collapse
Q1,66,eb3c1172fcc3be8f,17,4.196254214377562,iran regime collapse
Q1,51,3298331cea9ae67e,18,4.172690469255782,iran regime collapse
Q1,65,5cf68c9137cb7074,19,4.172690469255782,iran regime collapse
Q1,58,c3398d6be2b63fab,20,4.141036645675164,iran regime collapse
Q1,82,87b36d126cd9c4d4,21,4.112516981127859,iran regime collapse
Q1,31,c65194b41627aed3,22,4.091495684942992,iran regime collapse
Q1,32,f9c61b6f6fdb3545,23,4.056735930543534,iran regime collapse
Q1,63,d9d8fb9ae5fbbd07,24,4.041053693035298,iran regime collapse
Q1,16,31efc8ca23f3043d,25,4.036599638181608,iran regime collapse
Q1,25,e0a358186114dbb1,26,4.036599638181608,iran regime collapse
Q1,26,a77df25dafc79883,27,4.036599638181608,iran regime collapse
Q1,27,501b8de595d9b635,28,4.036599638181608,iran regime collapse
Q1,28,477f38ee2199b109,29,4.036599638181608,iran regime collapse
Q2,110,78cd3862708b2d91,0,5.581260629607989,hormuz strait closure
Q2,141,17a9a848788da71d,1,5.581260629607989,hormuz strait closure
Q2,163,7c499165dc218d09,2,4.988981555069662,hormuz strait closure
Q2,128,ae487b936842cb13,3,4.986820904317796,hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,4,4.9368478858874765,hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,5,4.874720497343683,hormuz strait closure
Q2,182,bddb5ea6752bf5d3,6,4.868315708964184,hormuz strait closure
Q2,184,6e6e778503059683,7,4.868315708964184,hormuz strait closure
Q2,119,5976e9ce43dc47f4,8,4.857482709985503,hormuz strait closure
Q2,136,000e173c6069bdc1,9,4.795297291175874,hormuz strait closure
Q2,178,d7c7f92810d9f46d,10,4.755119926376203,hormuz strait closure
Q2,138,2746a9b7afaf565d,11,4.687378311525499,hormuz strait closure
Q2,162,728dbdea3dbbcd3b,12,4.6755837879510285,hormuz strait closure
Q2,187,4dcdd20c47e563c2,13,4.647220295101264,hormuz strait closure
Q2,192,8046046d423b4056,14,4.645618558912842,hormuz strait closure
Q2,146,8a95e221cc9da4ed,15,4.617940867670433,hormuz strait closure
Q2,114,8029077ecba4a6d5,16,4.609578854262486,hormuz strait closure
Q2,186,b4ed6dbb5c28ebc1,17,4.506816325390498,hormuz strait closure
Q2,188,405d58e752110179,18,4.504837951345301,hormuz strait closure
Q2,157,d0c303845524684f,19,4.400914237370106,hormuz strait closure
Q2,107,729c4f0b1b9c35e6,20,4.34402263018183,hormuz strait closure
Q2,174,e5a2a656c428d005,21,4.29987490109041,hormuz strait closure
Q2,198,2247698dd4ee6eb3,22,4.29987490109041,hormuz strait closure
Q2,103,eaf5d63999a60631,23,4.251075287829373,hormuz strait closure
Q2,149,f6026a1873d1ee16,24,4.251075287829373,hormuz strait closure
Q2,166,e9b822e941614697,25,4.251075287829373,hormuz strait closure
Q2,197,703d3ec7e11b24e6,26,4.251075287829373,hormuz strait closure
Q2,168,deab82b1b7fc6cc2,27,4.2332638508384575,hormuz strait closure
Q2,117,2a2a4c5f30abd7c2,28,4.203370905883796,hormuz strait closure
Q2,122,7cb65008dfe2624b,29,4.203370905883796,hormuz strait closure
Q3,275,a017d1e883785088,0,5.763514475937436,revolutionary guard attack
Q3,252,0389df37799c6e00,1,5.672392109838937,revolutionary guard attack
Q3,253,ef57fa463888bf7f,2,5.598498388075246,revolutionary guard attack
Q3,281,9c09bf7e82a91af3,3,5.522958242872316,revolutionary guard attack
Q3,208,a1e2eed43ff89452,4,5.449429474047539,revolutionary guard attack
Q3,277,90678e27b20ef8d7,5,5.377832802923904,revolutionary guard attack
Q3,279,87dfe267e4222735,6,5.377832802923904,revolutionary guard attack
Q3,255,71e328aac1665185,7,5.240138937560056,revolutionary guard attack
Q3,278,8f5cccd753d772f3,8,5.240138937560056,revolutionary guard attack
Q3,210,c7336c4c8f6047b6,9,5.173902714725119,revolutionary guard attack
Q3,219,6ec73f4d43aac707,10,5.173902714725119,revolutionary guard attack
Q3,213,364fed8116cf25bd,11,5.10924895789482,revolutionary guard attack
Q3,215,35b020c81924c843,12,5.084882935445752,revolutionary guard attack
Q3,200,2c66c42738aad600,13,4.98487382590867,revolutionary guard attack
Q3,243,987ff2313d03e337,14,4.98487382590867,revolutionary guard attack
Q3,207,89d7edcaaaf6fcf5,15,4.937462059948393,revolutionary guard attack
Q3,228,0ffd99102d6201c0,16,4.92489668045566,revolutionary guard attack
Q3,229,6e5ecd8e9d46975f,17,4.92489668045566,revolutionary guard attack
Q3,294,9564052ee29b5c71,18,4.873714701485361,revolutionary guard attack
Q3,237,bbaafe8baeec6f30,19,4.809170455091959,revolutionary guard attack
Q3,254,92cf12e3986123b0,20,4.809170455091959,revolutionary guard attack
Q3,266,33e1ff89c85b7bd8,21,4.809170455091959,revolutionary guard attack
Q3,268,5f8ae337e78a72a7,22,4.809170455091959,revolutionary guard attack
Q3,272,e0c31a44289c172e,23,4.717225557460425,revolutionary guard attack
Q3,289,5f20bbf1bc142d34,24,4.675084667930767,revolutionary guard attack
Q3,246,16368ac1a6fd1405,25,4.645431511252888,revolutionary guard attack
Q3,214,7825d86b29b21917,26,4.593301773689952,revolutionary guard attack
Q3,293,3ecceca45e506d43,27,4.593301773689952,revolutionary guard attack
Q3,298,ebdbeaf8fe94e654,28,4.542329023505975,revolutionary guard attack
Q3,259,d0e5ee78a05302ca,29,4.475493980935437,revolutionary guard attack
Q4,345,42ccc2e73a3829a9,0,7.43635823373688,iran supreme leader speech
Q4,336,472503ee214acfb0,1,7.061421860029785,iran supreme leader speech
Q4,359,d030f2fa54e4c6e8,2,6.865157372559052,iran supreme leader speech
Q4,354,723a421ddcfafd71,3,6.778380647944673,iran supreme leader speech
Q4,343,103ead27b66d5282,4,6.758146661402824,iran supreme leader speech
Q4,353,1ad3e76d9cea351f,5,6.758146661402824,iran supreme leader speech
Q4,302,20656514792ad42b,6,6.693770284469381,iran supreme leader speech
Q4,342,f26bdb20c51eb086,7,6.611246158203349,iran supreme leader speech
Q4,318,c0a08405db7915f6,8,6.595585731312453,iran supreme leader speech
Q4,321,4eecf27dbfd3df11,9,6.595585731312453,iran supreme leader speech
