qid,docid,docno,rank,score,query
Q1,1,f5db3a28381e9607,0,4.876863560309044,iran regime collapse
Q1,34,1c0bb2b2fa2121b8,1,4.876863560309044,iran regime collapse
Q1,47,7e783bf5b8b371b4,2,4.765525449039287,iran regime collapse
Q1,54,272d82c01b434295,3,4.695487344910343,iran regime collapse
Q1,37,f6d3a4ce3c99762a,4,4.646652795073829,iran regime collapse
Q1,41,8cf97ae2fa9c2f7f,5,4.567516514822133,iran regime collapse
Q1,4,5be6f42915ac8782,6,4.533566200132549,iran regime collapse
Q1,35,59d55172c4c466b8,7,4.533566200132549,iran regime collapse
Q1,63,d9d8fb9ae5fbbd07,8,4.533566200132549,iran regime collapse
Q1,74,81a094715680e74f,9,4.533566200132549,iran regime collapse
Q1,2,a5d3b15df7b31ca7,10,4.425853251480494,iran regime collapse
Q1,7,633240933add1b56,11,4.425853251480494,iran regime collapse
Q1,11,262794936f5da8da,12,4.425853251480494,iran regime collapse
Q1,24,b5eb1a9e0cbbe7eb,13,4.425853251480494,iran regime collapse
Q1,32,f9c61b6f6fdb3545,14,4.301416260595786,iran regime collapse
Q1,91,bd51c866aaded72d,15,4.190137565341349,iran regime collapse
Q1,77,a2193c4052838008,16,4.134335053135997,iran regime collapse
Q1,66,eb3c1172fcc3be8f,17,4.131380950098613,iran regime collapse
Q1,16,31efc8ca23f3043d,18,4.120592123741767,iran regime collapse
Q1,25,e0a358186114dbb1,19,4.120592123741767,iran regime collapse
Q1,26,a77df25dafc79883,20,4.120592123741767,iran regime collapse
Q1,27,501b8de595d9b635,21,4.120592123741767,iran regime collapse
Q1,28,477f38ee2199b109,22,4.120592123741767,iran regime collapse
Q1,30,a2e3822f022b88ae,23,4.120592123741767,iran regime collapse
Q1,79,f792d44d9695270f,24,4.120592123741767,iran regime collapse
Q1,0,3fcdb9735ec81d75,25,4.10434121854329,iran regime collapse
Q1,42,6761da0022fcff68,26,4.10434121854329,iran regime collapse
Q1,46,d070237f96c6ad72,27,4.10434121854329,iran regime collapse
Q1,58,c3398d6be2b63fab,28,4.071906478034947,iran regime collapse
Q1,13,0c4e00e1be41449e,29,4.041742401408418,iran regime collapse
Q2,110,78cd3862708b2d91,0,5.599515063607159,hormuz strait closure
Q2,141,17a9a848788da71d,1,5.599515063607159,hormuz strait closure
Q2,163,7c499165dc218d09,2,5.354133205063182,hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,3,4.9582209063952485,hormuz strait closure
Q2,114,8029077ecba4a6d5,4,4.9101089210574695,hormuz strait closure
Q2,103,eaf5d63999a60631,5,4.730205128251049,hormuz strait closure
Q2,128,ae487b936842cb13,6,4.730205128251049,hormuz strait closure
Q2,182,bddb5ea6752bf5d3,7,4.650522525214993,hormuz strait closure
Q2,184,6e6e778503059683,8,4.650522525214993,hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,9,4.640182203576578,hormuz strait closure
Q2,188,405d58e752110179,10,4.640182203576578,hormuz strait closure
Q2,192,8046046d423b4056,11,4.640182203576578,hormuz strait closure
