qid,docid,docno,rank,score,query
Q1,1,f5db3a28381e9607,0,4.908736034082192,Iran regime collapse
Q1,34,1c0bb2b2fa2121b8,1,4.908736034082192,Iran regime collapse
Q1,54,272d82c01b434295,2,4.728944037016051,Iran regime collapse
Q1,37,f6d3a4ce3c99762a,3,4.668199809373297,Iran regime collapse
Q1,47,7e783bf5b8b371b4,4,4.668199809373297,Iran regime collapse
Q1,41,8cf97ae2fa9c2f7f,5,4.596961221100571,Iran regime collapse
Q1,4,5be6f42915ac8782,6,4.5570198409053315,Iran regime collapse
Q1,35,59d55172c4c466b8,7,4.5570198409053315,Iran regime collapse
Q1,63,d9d8fb9ae5fbbd07,8,4.5570198409053315,Iran regime collapse
Q1,74,81a094715680e74f,9,4.5570198409053315,Iran regime collapse
Q1,2,a5d3b15df7b31ca7,10,4.451012504018495,Iran regime collapse
Q1,7,633240933add1b56,11,4.451012504018495,Iran regime collapse
Q1,11,262794936f5da8da,12,4.451012504018495,Iran regime collapse
Q1,24,b5eb1a9e0cbbe7eb,13,4.451012504018495,Iran regime collapse
Q1,32,f9c61b6f6fdb3545,14,4.334867026008315,Iran regime collapse
Q1,91,bd51c866aaded72d,15,4.222191346770115,Iran regime collapse
Q1,66,eb3c1172fcc3be8f,16,4.160651930898827,Iran regime collapse
Q1,16,31efc8ca23f3043d,17,4.1533816689526555,Iran regime collapse
Q1,25,e0a358186114dbb1,18,4.1533816689526555,Iran regime collapse
Q1,26,a77df25dafc79883,19,4.1533816689526555,Iran regime collapse
Q1,27,501b8de595d9b635,20,4.1533816689526555,Iran regime collapse
Q1,28,477f38ee2199b109,21,4.1533816689526555,Iran regime collapse
Q1,30,a2e3822f022b88ae,22,4.1533816689526555,Iran regime collapse
Q1,79,f792d44d9695270f,23,4.1533816689526555,Iran regime collapse
Q1,0,3fcdb9735ec81d75,24,4.135628680698728,Iran regime collapse
Q1,42,6761da0022fcff68,25,4.135628680698728,Iran regime collapse
Q1,46,d070237f96c6ad72,26,4.135628680698728,Iran regime collapse
Q1,58,c3398d6be2b63fab,27,4.1037910662347725,Iran regime collapse
Q1,77,a2193c4052838008,28,4.074842439836596,Iran regime collapse
Q1,67,a9ab4ef7ea69595d,29,4.026453215394117,Iran regime collapse
Q2,110,78cd3862708b2d91,0,5.61901329185096,Hormuz strait closure
Q2,141,17a9a848788da71d,1,5.61901329185096,Hormuz strait closure
Q2,163,7c499165dc218d09,2,5.382635447285551,Hormuz strait closure
Q2,104,e3f9d2d7ac9d1575,3,4.992280998459843,Hormuz strait closure
Q2,114,8029077ecba4a6d5,4,4.94824199090567,Hormuz strait closure
Q2,103,eaf5d63999a60631,5,4.763718799626913,Hormuz strait closure
Q2,128,ae487b936842cb13,6,4.763718799626913,Hormuz strait closure
Q2,182,bddb5ea6752bf5d3,7,4.691723370689343,Hormuz strait closure
Q2,184,6e6e778503059683,8,4.691723370689343,Hormuz strait closure
Q2,143,1d38b6e4a82e8d5e,9,4.680930321184213,Hormuz strait closure
Q2,119,5976e9ce43dc47f4,10,4.662336716350785,Hormuz strait closure
Q2,136,000e173c6069bdc1,11,4.662336716350785,Hormuz strait closure
Q2,187,4dcdd20c47e563c2,12,4.631285438798225,Hormuz strait closure
Q2,188,405d58e752110179,13,4.6186985702318495,Hormuz strait closure
Q2,192,8046046d423b4056,14,4.6186985702318495,Hormuz strait closure
Q2,138,2746a9b7afaf565d,15,4.574792181449084,Hormuz strait closure
Q2,162,728dbdea3dbbcd3b,16,4.5651799624385445,Hormuz strait closure
Q2,165,b8b0ec62e58dba60,17,4.471989779712816,Hormuz strait closure
Q2,198,2247698dd4ee6eb3,18,4.471989779712816,Hormuz strait closure
Q2,178,d7c7f92810d9f46d,19,4.459206974495948,Hormuz strait closure
Q2,112,a201265974ea1c5c,20,4.3825281157118035,Hormuz strait closure
Q2,146,8a95e221cc9da4ed,21,4.3825281157118035,Hormuz strait closure
Q2,149,f6026a1873d1ee16,22,4.3825281157118035,Hormuz strait closure
Q2,152,23dda9968c58278e,23,4.3825281157118035,Hormuz strait closure
Q2,131,0b731b16cb647ee6,24,4.369755351692021,Hormuz strait closure
Q2,133,d5120126774a6fb7,25,4.369755351692021,Hormuz strait closure
Q2,107,729c4f0b1b9c35e6,26,4.359315635550285,Hormuz strait closure
Q2,166,e9b822e941614697,27,4.2965755932305845,Hormuz strait closure
Q2,197,703d3ec7e11b24e6,28,4.2965755932305845,Hormuz strait closure
Q2,101,bee41c435a25013d,29,4.231927883337999,Hormuz strait closure
Q3,252,0389df37799c6e00,0,6.3211439675417465,Revolutionary Guard attack
Q3,275,a017d1e883785088,1,5.792977969345269,Revolutionary Guard attack
Q3,281,9c09bf7e82a91af3,2,5.525813455783154,Revolutionary Guard attack
Q3,277,90678e27b20ef8d7,3,5.39726962910878,Revolutionary Guard attack
Q3,279,87dfe267e4222735,4,5.39726962910878,Revolutionary Guard attack
Q3,208,a1e2eed43ff89452,5,5.274570327125959,Revolutionary Guard attack
Q3,253,ef57fa463888bf7f,6,5.274570327125959,Revolutionary Guard attack
Q3,283,fdc6eecd2b96883f,7,5.127318708579864,Revolutionary Guard attack
Q3,282,52db22c02154eb52,8,5.059809573363672,Revolutionary Guard attack
Q3,210,c7336c4c8f6047b6,9,5.045180233409591,Revolutionary Guard attack
Q3,255,71e328aac1665185,10,5.045180233409591,Revolutionary Guard attack
Q3,294,9564052ee29b5c71,11,4.986183700323123,Revolutionary Guard attack
Q3,246,16368ac1a6fd1405,12,4.937808051280229,Revolutionary Guard attack
Q3,200,2c66c42738aad600,13,4.83491084953552,Revolutionary Guard attack
Q3,213,364fed8116cf25bd,14,4.807115194500076,Revolutionary Guard attack
Q3,278,8f5cccd753d772f3,15,4.736214581428238,Revolutionary Guard attack
Q3,214,7825d86b29b21917,16,4.641467129311378,Revolutionary Guard attack
Q3,228,0ffd99102d6201c0,17,4.641467129311378,Revolutionary Guard attack
Q3,229,6e5ecd8e9d46975f,18,4.641467129311378,Revolutionary Guard attack
Q3,242,31cd9fdb9bd4c0b9,19,4.641467129311378,Revolutionary Guard attack
Q3,254,92cf12e3986123b0,20,4.641467129311378,Revolutionary Guard attack
Q3,266,33e1ff89c85b7bd8,21,4.641467129311378,Revolutionary Guard attack
Q3,272,e0c31a44289c172e,22,4.525891407114461,Revolutionary Guard attack
Q3,289,5f20bbf1bc142d34,23,4.525891407114461,Revolutionary Guard attack
Q3,207,89d7edcaaaf6fcf5,24,4.506530145722161,Revolutionary Guard attack
Q3,264,e2781067302db0e1,25,4.46290719358374,Revolutionary Guard attack
Q3,269,4d0736098bd6835b,26,4.46290719358374,Revolutionary Guard attack
Q3,270,32745968c8bcce5f,27,4.46290719358374,Revolutionary Guard attack
Q3,249,6dc8c9322fcf4eef,28,4.389929445131525,Revolutionary Guard attack
Q3,259,d0e5ee78a05302ca,29,4.389929445131525,Revolutionary Guard attack
Q4,354,723a421ddcfafd71,0,7.226246525675151,Iran supreme leader speech
Q4,370,41345e17eaa986ed,1,7.226246525675151,Iran supreme leader speech
Q4,336,472503ee214acfb0,2,7.126179813642979,Iran supreme leader speech
